truth,execution-time,plan-time
1,118.794,0.446
1,114.271,0.344
1,114.482,0.346
1,113.129,0.308
1,618.528,0.311
1,21073.476,0.357
1,7135.665,0.365
1,44991.507,0.367
1,1782.889,0.358
1,1383.887,0.35
1,2810.749,0.354
1,5600.171,0.37
1,1993.028,0.366
1,8347.177,0.35
1,371.418,0.382
1,253.657,0.343
1,256.619,0.374
1,371.226,0.373
1,38904.427,0.339
1,2245.657,0.179
1,577.652,0.171
1,11579.288,0.171
1,9604.86,0.363
1,6863.005,0.374
1,4695.631,0.367
1,8265.184,0.37
1,6655.557,0.401
1,10370.083,0.355
1,8591.8,0.385
1,22722.902,0.363
1,433.427,0.379
1,449.416,0.356
1,10139.974,0.34
1,1410.042,0.701
1,113.921,0.693
1,3119.067,0.67
1,4000.831,0.704
1,799.405,0.725
1,4584.492,0.707
1,3331.387,0.735
1,82309.477,0.729
1,52502.945,0.759
1,98182.286,0.691
1,3544.978,0.756
1,2449.04,0.729
1,2655.867,0.71
1,13438.805,0.705
1,15321.299,0.743
1,35734.798,0.721
1,25967.0,0.752
1,38743.929,0.402
1,20233.492,0.371
1,506.381,0.707
1,476.108,0.69
1,595.694,0.682
1,4533.515,1.351
1,3141.407,1.363
1,339947.033,1.398
1,271.159,1.444
1,1380210.703,1.441
1,106066.774,1.481
1,10099.305,1.41
1,18865.77,0.744
1,14075.248,0.718
1,633.77,0.743
1,10385.311,1.416
1,7246.574,1.403
1,792.947,1.474
1,484.19,1.455
1,56898.232,1.386
