truth,execution-time,plan-time
1,118.284,0.436
1,113.584,0.319
1,114.107,0.308
1,113.028,0.307
1,618.065,0.315
1,20739.227,0.356
1,5442.769,0.37
1,44077.739,0.364
1,2112.597,0.357
1,765.423,0.366
1,2440.162,0.347
1,5578.872,0.359
1,2017.296,0.363
1,7220.041,0.357
1,374.369,0.377
1,252.98,0.355
1,255.838,0.373
1,371.337,0.374
1,38790.254,0.343
1,2218.71,0.184
1,574.2,0.172
1,11661.062,0.167
1,9626.578,0.37
1,6877.597,0.373
1,4726.571,0.367
1,8164.553,0.378
1,6710.085,0.389
1,10249.471,0.36
1,8705.285,0.386
1,22591.55,0.35
1,431.259,0.388
1,446.292,0.359
1,10031.446,0.351
1,1199.426,0.718
1,113.503,0.688
1,3155.515,0.666
1,4457.451,0.936
1,792.977,0.741
1,5101.823,0.714
1,3271.66,0.746
1,81517.235,0.729
1,52931.536,0.754
1,98150.402,0.737
1,3550.151,0.771
1,5095.925,0.702
1,2610.473,0.723
1,9955.225,0.699
1,15206.139,0.751
1,35894.132,0.749
1,25955.93,0.748
1,47316.192,0.391
1,20128.29,0.369
1,510.204,0.714
1,473.276,0.698
1,594.08,0.713
1,4422.289,1.35
1,3534.628,1.361
1,224815.823,1.421
1,413.263,1.598
1,1520995.578,1.443
1,106239.383,1.481
1,9887.875,1.423
1,21354.97,0.746
1,14150.677,0.737
1,697.761,0.717
1,10564.583,1.345
1,7146.256,1.41
1,789.7,1.479
1,478.839,1.441
1,56586.924,1.435
