truth,execution-time,plan-time
1,118.142,0.439
1,113.596,0.321
1,114.424,0.305
1,112.968,0.304
1,615.122,0.314
1,20900.597,0.356
1,7116.967,0.363
1,37995.858,0.363
1,1768.894,0.36
1,1283.528,0.365
1,2789.117,0.358
1,5572.475,0.37
1,1993.604,0.355
1,8226.808,0.349
1,368.858,0.377
1,252.571,0.347
1,369.77,0.372
1,368.007,0.335
1,38858.261,0.335
1,2227.242,0.179
1,572.278,0.169
1,11604.804,0.167
1,9481.941,0.363
1,6752.014,0.374
1,4708.006,0.372
1,8175.303,0.375
1,6663.915,0.384
1,10290.349,0.358
1,8621.369,0.388
1,22609.093,0.357
1,431.795,0.385
1,445.829,0.36
1,10014.7,0.344
1,1361.748,0.705
1,110.041,0.671
1,3188.19,0.637
1,5575.913,0.717
1,794.953,0.723
1,4964.973,0.714
1,3290.98,0.733
1,81644.657,0.73
1,52726.077,0.753
1,99272.387,0.728
1,3536.446,0.764
1,2422.642,0.702
1,2568.533,0.714
1,8249.239,0.685
1,14652.223,0.747
1,32347.831,0.722
1,25911.236,0.756
1,48598.875,0.388
1,20846.429,0.378
1,525.628,0.736
1,492.368,0.715
1,614.802,0.702
1,4653.757,1.391
1,3249.634,1.409
1,225327.474,1.46
1,289.626,1.52
1,1374530.708,1.431
1,104945.047,1.483
1,9859.034,1.421
1,21435.312,0.749
1,14226.744,0.747
1,635.257,0.75
1,10321.209,1.403
1,7170.844,1.404
1,1894.051,1.485
1,802.04,1.465
1,57279.762,1.414
