truth,execution-time,plan-time
1,115.826,0.86
1,108.982,0.352
1,109.94,0.309
1,107.89,0.325
1,852.96,0.402
1,18645.088,0.471
1,7227.564,0.355
1,37983.608,0.354
1,2346.388,0.347
1,2023.592,0.366
1,2794.375,0.352
1,6826.312,0.359
1,4810.507,0.357
1,8220.334,0.37
1,364.685,0.512
1,251.398,0.372
1,365.863,0.365
1,365.04,0.37
1,38225.156,0.375
1,2217.754,0.171
1,572.871,0.168
1,11544.66,0.165
1,9676.506,0.381
1,6896.884,0.373
1,4862.917,0.361
1,8332.39,0.367
1,7104.795,0.386
1,10310.099,0.368
1,8990.798,0.374
1,22470.93,0.366
1,426.444,0.378
1,440.67,0.366
1,10055.327,0.356
1,3067.005,0.713
1,115.866,0.706
1,3420.976,0.682
1,4066.35,0.73
1,3324.784,0.735
1,4624.313,0.729
1,4316.523,0.736
1,81633.741,0.741
1,35909.491,0.747
1,98507.225,0.736
1,2998.288,0.757
1,3867.608,0.697
1,10294.605,0.711
1,13507.97,0.732
1,13720.773,0.735
1,33255.979,0.749
1,25715.576,0.749
1,40710.066,0.393
1,20892.542,0.377
1,2350.181,0.727
1,2009.345,0.72
1,3093.474,0.718
1,6315.646,1.406
1,6224.328,1.387
1,282321.815,1.477
1,439.217,1.465
1,1380935.499,1.431
1,106177.345,1.488
1,15826.714,1.426
1,21118.944,0.743
1,14911.828,0.742
1,1354.474,0.745
1,10044.281,1.399
1,8156.365,1.421
1,1999.898,1.485
1,833.989,1.46
1,60603.462,1.433
