truth,execution-time,plan-time
1,118.002,0.44
1,113.468,0.322
1,114.336,0.304
1,112.992,0.309
1,615.299,0.314
1,20631.331,0.357
1,7124.51,0.36
1,44290.492,0.356
1,1771.355,0.36
1,1353.461,0.357
1,2800.232,0.355
1,5588.819,0.362
1,4396.545,0.357
1,8212.513,0.353
1,373.124,0.38
1,252.703,0.353
1,373.782,0.365
1,371.805,0.338
1,38924.621,0.335
1,2227.282,0.178
1,573.711,0.176
1,11601.939,0.169
1,9486.872,0.365
1,6764.856,0.369
1,4736.628,0.371
1,8182.028,0.371
1,6750.786,0.389
1,10288.796,0.368
1,8687.411,0.388
1,22603.896,0.353
1,431.537,0.381
1,445.844,0.359
1,10049.44,0.344
1,1386.25,0.71
1,113.879,0.699
1,3299.199,0.655
1,3946.222,0.72
1,792.992,0.734
1,4457.829,0.704
1,3744.524,0.74
1,81877.188,0.737
1,44552.209,0.757
1,98139.23,0.735
1,3528.315,0.768
1,2409.332,0.702
1,2601.81,0.708
1,8245.453,0.704
1,13981.991,0.734
1,35948.624,0.741
1,25912.024,0.742
1,39584.982,0.392
1,20821.935,0.381
1,525.524,0.733
1,491.998,0.723
1,614.427,0.698
1,4577.588,1.395
1,3611.822,1.403
1,221622.457,1.469
1,399.123,1.561
1,1506634.604,1.369
1,104226.387,1.494
1,9800.835,1.426
1,21382.674,0.75
1,14273.185,0.737
1,634.943,0.739
1,10325.993,1.405
1,7125.363,1.407
1,791.379,1.482
1,480.597,1.442
1,55922.152,1.388
