truth,execution-time,plan-time
1,113.84,0.385
1,109.412,0.306
1,110.252,0.298
1,108.853,0.294
1,594.464,0.308
1,20107.955,0.342
1,5253.088,0.345
1,42592.869,0.345
1,1296.532,0.341
1,739.004,0.34
1,2115.57,0.332
1,3803.65,0.345
1,1934.748,0.346
1,6349.402,0.344
1,357.391,0.361
1,244.404,0.346
1,356.01,0.353
1,355.898,0.336
1,38802.869,0.324
1,2233.403,0.178
1,578.481,0.173
1,11606.461,0.168
1,9642.267,0.37
1,48043.144,0.378
1,46940.223,0.368
1,22063.476,0.378
1,6704.586,0.379
1,22854.555,0.37
1,8704.5,0.372
1,19222.905,0.355
1,432.484,0.383
1,446.53,0.355
1,9980.677,0.344
1,1203.063,0.712
1,113.565,0.681
1,4137.163,0.661
1,6119.44,0.711
1,797.549,0.728
1,5260.112,0.707
1,2856.362,0.727
1,112451.136,0.727
1,57175.788,0.743
1,138066.327,0.732
1,2750.353,0.749
1,2413.377,0.699
1,2612.55,0.711
1,9940.56,0.697
1,15492.018,0.744
1,33024.467,0.746
1,48473.654,0.76
1,46039.297,0.387
1,23917.275,0.385
1,602.865,0.737
1,508.174,0.724
1,615.517,0.711
1,4179.377,1.389
1,3641.889,1.422
1,343083.905,1.458
1,271.663,1.525
1,1834414.268,1.433
1,104015.019,1.339
1,7975.599,1.364
1,21464.043,0.808
1,14200.26,0.747
1,766.486,0.727
1,9420.571,1.389
1,6214.653,1.382
1,791.953,1.491
1,483.708,1.435
1,68317.058,1.375
