truth,execution-time,plan-time
1,114.67,11.165
1,109.663,0.337
1,110.463,0.299
1,109.121,0.296
1,850.087,0.305
1,18630.348,0.365
1,7221.616,0.361
1,38040.589,0.356
1,2434.285,0.364
1,2110.186,0.357
1,2877.27,0.364
1,6903.436,0.362
1,4402.139,0.355
1,8360.06,0.355
1,377.436,0.387
1,253.46,0.343
1,376.354,0.373
1,375.752,0.37
1,38328.866,0.337
1,2240.927,0.173
1,575.008,0.171
1,11634.651,0.167
1,9628.323,0.37
1,6860.565,0.38
1,4599.084,0.369
1,9127.939,0.359
1,7024.475,0.376
1,11924.473,0.373
1,9487.66,0.385
1,22788.27,0.381
1,433.695,0.383
1,449.568,0.359
1,10218.624,0.351
1,3064.153,0.709
1,123.584,0.716
1,5254.038,0.714
1,4425.477,0.711
1,3106.098,0.734
1,4903.048,0.721
1,4333.313,0.732
1,82425.284,0.738
1,52639.709,0.751
1,99808.42,0.723
1,2985.731,0.764
1,2407.583,0.708
1,11801.617,0.712
1,8269.513,0.727
1,14277.265,0.74
1,33345.073,0.751
1,26423.721,0.746
1,39544.064,0.39
1,20907.142,0.382
1,4557.64,0.729
1,4526.077,0.732
1,618.36,0.719
1,27270.699,1.401
1,26127.592,1.405
1,226446.322,1.51
1,12770.496,1.524
1,1409203.923,1.482
1,104146.32,1.465
1,17623.887,1.413
1,21005.336,0.766
1,14692.333,0.739
1,4511.94,0.747
1,10404.581,1.407
1,28635.833,1.414
1,12641.576,1.488
1,12524.423,1.475
1,50827.413,1.428
