truth,execution-time,plan-time
1,134.14,1.13
1,114.238,0.361
1,114.491,0.312
1,113.143,0.314
1,660.98,0.453
1,20890.569,0.491
1,7166.408,0.358
1,38329.017,0.357
1,1780.395,0.356
1,1280.836,0.352
1,2831.85,0.353
1,5601.199,0.36
1,2005.861,0.362
1,8336.047,0.356
1,370.268,0.496
1,254.482,0.342
1,371.069,0.366
1,370.176,0.361
1,39275.051,0.338
1,2244.175,0.182
1,578.11,0.173
1,11613.61,0.169
1,9638.795,0.383
1,6834.189,0.376
1,4686.063,0.376
1,8266.204,0.367
1,6683.717,0.388
1,10339.109,0.359
1,8696.015,0.387
1,22911.905,0.356
1,433.937,0.378
1,447.619,0.362
1,10221.74,0.336
1,1399.375,0.728
1,116.709,0.695
1,3815.973,0.673
1,5489.885,0.698
1,795.338,0.718
1,5258.328,0.718
1,3301.283,0.731
1,80318.596,0.728
1,34428.237,0.732
1,96975.934,0.711
1,2766.694,0.762
1,2404.084,0.709
1,2616.192,0.705
1,8218.114,0.71
1,15099.329,0.743
1,32904.106,0.758
1,25807.458,0.749
1,48375.741,0.387
1,20897.475,0.383
1,526.753,0.73
1,493.924,0.713
1,616.57,0.718
1,7020.48,1.397
1,4647.534,1.431
1,245335.404,1.463
1,1621.572,1.537
1,1565927.939,1.46
1,83714.702,1.531
1,12949.449,1.504
1,24297.612,0.746
1,14601.156,0.755
1,635.505,0.748
1,10316.523,1.409
1,11339.646,1.417
1,6794.442,1.462
1,2141.718,1.469
1,45275.696,1.401
