truth,execution-time,plan-time
1,114.205,0.402
1,109.871,0.3
1,110.454,0.29
1,109.099,0.295
1,594.54,0.302
1,20690.684,0.341
1,7135.691,0.359
1,44003.552,0.358
1,1772.803,0.366
1,763.356,0.363
1,2768.201,0.347
1,5572.784,0.367
1,1993.567,0.361
1,8220.031,0.355
1,371.696,0.388
1,252.661,0.341
1,255.708,0.365
1,370.255,0.366
1,39019.966,0.345
1,2220.832,0.181
1,573.119,0.171
1,11544.059,0.168
1,9271.346,0.368
1,6727.004,0.363
1,4663.792,0.367
1,8168.707,0.369
1,6761.864,0.392
1,10239.836,0.363
1,8695.181,0.38
1,22685.09,0.363
1,430.704,0.381
1,445.955,0.356
1,10041.796,0.346
1,1386.304,0.706
1,114.477,0.693
1,3131.793,0.669
1,3941.862,0.718
1,792.588,0.739
1,4360.896,0.705
1,3287.537,0.74
1,80763.455,0.733
1,51119.478,0.729
1,94927.222,0.705
1,3524.063,0.771
1,2417.238,0.698
1,2606.831,0.714
1,8363.47,0.705
1,15144.284,0.742
1,35894.173,0.75
1,25723.479,0.752
1,39724.265,0.386
1,20846.71,0.381
1,524.812,0.738
1,491.536,0.701
1,614.115,0.701
1,4667.195,1.392
1,3496.401,1.403
1,205891.508,1.406
1,413.324,1.462
1,1363344.111,1.466
1,103263.534,1.49
1,9521.604,1.359
1,20717.565,0.722
1,14060.371,0.71
1,634.567,0.744
1,10294.215,1.401
1,7149.479,1.409
1,789.999,1.463
1,482.026,1.454
1,57022.587,1.4
