truth,execution-time,plan-time
1,118.495,0.442
1,114.107,0.318
1,114.756,0.307
1,113.954,0.32
1,853.118,0.333
1,20822.542,0.357
1,7126.829,0.357
1,43998.095,0.355
1,1764.627,0.357
1,768.447,0.361
1,2800.01,0.348
1,5581.547,0.357
1,2002.391,0.36
1,8236.223,0.351
1,372.112,0.378
1,256.402,0.342
1,255.733,0.365
1,370.57,0.366
1,38930.99,0.357
1,2230.539,0.181
1,574.935,0.17
1,11568.998,0.168
1,9495.919,0.363
1,6769.492,0.372
1,6573.496,0.372
1,8179.091,0.372
1,6784.045,0.399
1,10278.714,0.359
1,8705.891,0.377
1,22537.568,0.352
1,430.904,0.386
1,445.746,0.36
1,10017.776,0.35
1,1388.483,0.718
1,117.154,0.691
1,3109.341,0.668
1,3943.369,0.714
1,794.473,0.736
1,4365.002,0.708
1,3280.885,0.731
1,81898.94,0.738
1,52945.472,0.757
1,98238.185,0.74
1,3000.542,0.777
1,6519.358,0.705
1,2611.447,0.716
1,14366.444,0.707
1,15111.457,0.768
1,35496.341,0.748
1,25783.894,0.755
1,39668.495,0.394
1,20885.076,0.378
1,2355.372,0.739
1,2010.636,0.731
1,615.817,0.725
1,5543.78,1.384
1,3436.932,1.404
1,345614.934,1.453
1,626.705,1.456
1,1450022.96,1.454
1,100096.083,1.42
1,10769.164,1.348
1,20697.409,0.711
1,13833.011,0.739
1,1316.356,0.723
1,9800.593,1.349
1,9435.937,1.335
1,2046.115,1.422
1,1004.267,1.405
1,55235.336,1.364
