truth,execution-time,plan-time
1,34.19,0.177
1,5216.367,0.179
1,849.845,0.211
1,424.486,0.2
1,1483.546,0.204
1,315.836,0.211
1,185.354,0.355
1,289.108,0.387
1,321.785,0.366
1,187.086,0.394
1,121.634,0.452
1,256.66,0.436
1,106.848,0.449
1,29.505,0.439
1,1658.525,0.401
1,110.473,0.454
1,31.753,0.273
1,84.737,0.344
1,44.101,0.227
1,147.814,0.272
1,78.278,0.281
1,590.209,0.388
1,259.265,0.423
1,46.764,0.389
1,165.037,0.869
1,77.788,0.513
1,60.519,0.927
1,2705.223,0.57
1,235.25,0.639
1,51980.909,0.891
1,1844.754,0.86
1,3073.716,0.972
1,156.333,0.979
1,110591.012,0.838
1,1877.181,0.934
1,82.962,0.92
1,670.472,0.868
1,20623.507,0.905
1,454.864,0.889
1,63.485,0.578
1,16.855,0.55
1,376.059,0.473
1,1344.95,0.827
1,532.025,0.872
1,18.936,0.847
1,270.803,1.6
1,11965.728,1.745
1,33.61,1.834
1,3395.766,1.738
1,36.952,1.775
1,22074.202,1.704
1,41759.731,1.743
1,224.524,0.899
1,14.791,0.886
1,22.365,1.053
1,3175.828,1.122
1,124.805,1.098
-1,0.0,0.0
1,22214.574,2.395
1,2410.259,1.674
1,257.257,1.703
1,67.583,1.629
1,87.104,1.673
1,437.54,1.692
1,87.202,1.676
1,589.615,1.689
1,21.429,1.749
1,237544.641,2.005
1,21757.571,2.132
1,41128.204,2.116
1,12458.419,2.063
1,848.761,2.003
1,493.708,2.065
1,6856.648,1.623
1,1211.926,1.67
1,369.259,1.658
1,1432.911,1.631
1,156.156,1.62
1,971.698,1.616
1,302.183,0.471
1,161.953,0.454
1,435.965,0.416
1,514.074,0.412
1,1762.395,0.473
1,2405.891,0.462
1,424.311,0.537
1,214.798,0.402
1,1651.441,0.386
1,346.422,0.441
1,244.827,0.438
1,808.05,0.465
1,207.134,0.309
1,762.407,0.4
1,306.458,0.391
1,1310.796,0.798
1,969.598,0.854
1,8993.464,0.975
1,8381.08,0.945
1,480.715,0.925
1,247.422,0.6
1,317.194,0.607
1,594.252,0.617
1,870.598,0.965
1,7867.576,0.993
1,42334.36,0.943
1,1421.553,0.999
1,98356.992,0.972
1,142695.599,0.955
1,665.676,1.687
1,560.786,1.691
1,1026.317,1.669
1,801.877,1.691
1,3943.715,0.933
1,3944.828,0.96
1,9037.26,0.955
1,608.877,0.965
1,275.073,0.521
1,410.688,0.547
1,574.21,0.939
-1,0.0,0.0
1,1531.66,0.956
-1,0.0,0.0
1,28170.466,0.928
1,1359.258,0.905
1,90.907,0.904
1,564895.505,0.848
1,333.231,1.855
1,420.454,1.79
1,469.397,1.779
1,263.512,1.048
1,3359.509,1.899
1,1241.106,1.833
1,2861.676,1.821
1,289.586,1.896
1,543295.067,1.827
1,62346.387,1.87
1,336.145,0.938
1,7933.672,1.114
1,857.486,1.728
1,18222.873,3.356
1,48786.058,3.528
1,49435.101,3.357
1,24414.77,3.542
1,4012.011,1.658
1,442.118,2.121
1,581.925,2.117
