truth,execution-time,plan-time
1,37.473,0.504
1,5378.982,0.33
1,912.87,0.322
1,444.174,0.217
1,1503.673,0.352
1,326.58,0.336
1,189.068,0.507
1,298.548,0.408
1,621.029,0.406
1,431.355,0.456
1,264.554,0.465
1,356.815,0.465
1,233.011,0.463
1,31.322,0.475
1,6772.693,0.452
1,272.824,0.448
1,30.566,0.368
1,84.525,0.352
1,174.117,0.258
1,304.263,0.329
1,110.61,0.308
1,1262.537,0.405
1,83.854,0.416
1,214.449,0.404
1,270.37,0.845
1,472.473,0.613
1,60.439,0.889
-1,0.0,0.0
1,241.803,0.643
-1,0.0,0.0
1,5131.079,0.897
1,9319.913,1.122
1,224.369,0.997
-1,0.0,0.0
1,1940.423,0.927
1,84.989,0.926
1,643.558,0.88
-1,0.0,0.0
1,592.826,0.916
1,71.894,0.578
1,17.204,0.578
1,461.25,0.481
1,1345.789,0.844
1,1192.909,0.866
1,23.85,0.835
1,421.278,1.721
-1,0.0,0.0
1,89.189,1.87
1,5053.315,1.787
1,489.21,1.804
-1,0.0,0.0
-1,0.0,0.0
1,239.358,0.935
1,18.277,0.942
1,23.026,1.102
1,3539.089,1.169
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
1,2444.924,1.699
1,250.38,1.674
1,62.089,1.65
1,88.006,1.634
1,433.815,1.729
1,88.35,1.727
1,615.368,1.744
1,21.739,1.75
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
1,896.046,2.149
1,510.838,2.163
1,7005.257,1.659
1,1217.63,1.673
1,384.697,1.725
1,1464.104,1.65
1,157.945,1.651
1,1004.924,1.713
1,318.588,0.492
1,168.354,0.465
1,443.078,0.423
1,525.818,0.413
1,1784.223,0.463
1,2333.795,0.454
1,408.681,0.531
1,212.52,0.4
1,1602.787,0.394
1,344.306,0.458
1,240.43,0.446
1,795.699,0.448
1,199.985,0.309
1,712.093,0.39
1,297.944,0.388
1,1264.263,0.814
1,988.794,0.838
1,8765.714,0.927
1,8309.636,0.912
1,484.075,0.912
1,247.974,0.575
1,313.654,0.581
1,576.372,0.593
1,852.764,0.941
1,7961.246,0.964
-1,0.0,0.0
1,1395.239,0.988
-1,0.0,0.0
-1,0.0,0.0
1,678.293,1.72
1,566.446,1.712
1,1041.787,1.685
1,820.345,1.725
1,3934.601,0.959
1,4758.238,0.975
-1,0.0,0.0
1,625.173,0.935
1,287.596,0.558
1,413.823,0.542
1,571.674,0.913
-1,0.0,0.0
1,1520.99,0.927
-1,0.0,0.0
-1,0.0,0.0
1,1444.811,0.947
1,103.292,0.958
-1,0.0,0.0
1,345.045,1.899
1,436.563,1.892
1,462.159,1.894
1,269.783,1.134
1,3406.614,1.865
1,1269.162,1.845
1,2875.033,1.851
1,286.509,1.855
-1,0.0,0.0
-1,0.0,0.0
1,339.053,0.95
1,8494.26,1.101
1,903.721,1.84
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
1,4055.829,1.698
1,457.571,2.153
1,570.604,2.554
