truth,execution-time,plan-time
1,34.788,0.668
1,5004.439,0.341
1,840.154,23.555
1,408.765,0.188
1,1422.868,23.384
1,308.376,2.056
1,180.894,1.464
1,280.03,0.385
1,321.022,18.267
1,182.382,0.436
1,118.109,0.411
1,250.769,0.398
1,116.068,0.419
1,159.307,0.404
1,1602.758,0.394
1,110.705,0.456
1,32.727,17.016
1,85.447,0.34
1,44.425,0.239
1,148.903,0.282
1,79.947,16.425
1,588.67,0.398
1,258.071,0.412
1,46.816,0.381
1,162.826,0.868
1,79.453,13.95
1,60.099,0.92
1,2720.787,0.59
1,235.92,0.662
1,52671.133,0.895
1,1926.333,0.887
1,3169.456,1.002
1,176.714,0.992
1,109695.013,0.882
1,1821.917,0.883
1,83.009,0.911
1,660.531,0.849
1,20230.144,0.877
1,459.79,0.893
1,65.149,0.582
1,16.871,0.576
1,378.2,0.464
1,1360.364,0.834
1,549.452,0.876
1,18.343,0.838
1,262.05,1.523
1,12131.649,1.688
1,34.012,1.848
1,3408.283,1.749
1,37.464,1.798
1,21898.979,1.766
1,42056.062,1.778
1,231.741,0.922
1,15.234,0.891
1,22.947,1.093
1,3248.183,1.096
1,128.885,1.138
-1,0.0,0.0
1,22225.976,2.411
1,2435.182,1.69
1,258.167,1.727
1,63.292,1.639
1,87.591,1.63
1,441.392,1.735
1,89.795,1.765
1,607.08,1.764
1,21.803,1.772
1,236006.54,2.048
1,21766.79,2.119
1,41049.036,2.089
1,12756.611,2.117
1,826.389,1.998
1,483.756,2.02
1,6644.854,1.577
1,1171.777,1.609
1,353.63,1.603
1,1385.104,1.589
1,152.532,1.58
1,934.362,1.572
1,289.417,0.462
1,155.313,0.445
1,423.996,0.393
1,500.786,0.409
1,1714.461,0.456
1,2315.75,0.447
1,406.655,0.532
1,206.672,0.386
1,1573.348,0.387
1,339.393,0.442
1,233.561,0.439
1,777.634,0.444
1,204.787,0.306
1,717.381,0.405
1,295.934,0.384
1,1268.866,0.801
1,918.351,0.833
1,8948.373,0.912
1,8296.347,0.938
1,477.579,0.936
1,246.206,0.593
1,317.394,0.601
1,592.731,0.615
1,878.763,0.97
1,7980.99,0.976
1,43511.043,0.972
1,1420.602,0.992
1,99529.763,0.971
1,143471.837,0.963
1,675.158,1.709
1,562.941,1.709
1,1029.661,1.67
1,808.265,1.686
1,3946.692,0.94
1,3949.559,0.969
1,9012.681,0.96
1,607.378,0.965
1,276.025,0.531
1,409.751,0.537
1,576.676,0.943
-1,0.0,0.0
1,1529.31,0.963
-1,0.0,0.0
1,28300.795,0.924
1,1410.106,0.938
1,94.581,0.927
1,567487.221,0.889
1,333.406,1.941
1,422.355,1.802
1,454.707,1.786
1,264.592,1.058
1,3400.833,1.832
1,1240.845,1.827
1,2850.959,1.823
1,282.476,1.898
1,542626.964,1.838
1,62763.032,1.868
1,344.295,0.985
1,8113.894,1.14
1,878.265,1.793
1,18532.158,3.477
1,48940.977,3.512
1,48357.622,3.358
1,24858.196,3.463
1,4196.698,1.733
1,463.999,2.188
1,585.801,2.216
