truth,execution-time,plan-time
1,35.875,0.678
1,3016.635,0.276
1,486.474,0.32
1,214.565,0.216
1,674.646,0.362
1,298.554,0.326
1,177.631,0.498
1,273.28,0.395
1,147.296,0.416
1,107.804,0.468
1,82.617,0.582
1,153.065,0.49
1,65.812,0.477
1,29.043,0.472
1,837.937,0.411
1,115.391,0.493
1,30.918,0.404
1,68.621,0.341
1,43.49,0.254
1,108.518,0.29
1,80.712,0.324
1,426.603,0.428
1,129.372,0.435
1,45.448,0.44
1,108.109,0.923
1,64.4,0.564
1,57.349,0.966
1,1423.491,0.602
1,149.665,0.713
1,25022.94,0.972
1,906.744,0.946
1,1728.878,1.092
1,178.074,1.124
1,80932.953,0.979
1,1035.223,1.039
1,86.063,1.043
1,221.754,0.988
1,8860.896,1.032
1,256.977,1.031
1,70.121,0.643
1,17.579,0.575
1,225.757,0.533
1,850.911,0.966
1,549.066,1.0
1,20.377,0.977
1,225.908,1.859
1,5651.582,2.044
1,14.996,2.239
1,2112.921,2.018
1,38.976,2.052
1,9554.948,1.957
1,20260.057,2.501
1,141.708,1.037
1,15.367,1.019
1,24.7,1.22
1,1557.313,1.235
1,136.654,1.234
1,1568401.585,2.65
1,49270.093,2.776
1,1189.253,2.027
1,294.137,2.026
1,67.643,1.953
1,94.475,1.966
1,198.881,2.129
1,93.819,2.196
1,178.621,2.201
1,25.4,2.255
1,62833.057,2.727
1,11379.266,3.032
1,44815.56,2.54
1,6074.664,2.594
1,511.259,2.523
1,202.533,2.508
1,3749.227,1.941
1,731.223,2.008
1,200.265,1.971
1,1621.949,1.922
1,82.981,1.969
1,645.359,1.872
1,180.924,0.506
1,98.492,0.602
1,240.308,0.451
1,302.093,0.444
1,972.677,0.505
1,954.773,0.494
1,143.481,0.629
1,119.369,0.439
1,859.272,0.433
1,279.432,0.5
1,246.901,0.473
1,812.103,0.485
1,85.074,0.338
1,482.424,0.428
1,506.783,0.45
1,714.653,0.949
1,413.742,0.969
1,4882.942,1.044
1,3795.888,1.026
1,209.782,1.537
1,132.77,0.661
1,183.621,0.669
1,359.273,0.678
1,411.197,1.064
1,2128.07,1.1
1,16275.055,1.64
1,520.05,1.098
1,46265.759,1.061
1,50192.612,1.104
1,306.136,2.03
1,311.78,1.993
1,362.709,1.98
1,287.047,1.989
1,1689.425,1.039
1,1807.564,1.082
1,3890.477,1.062
1,148.332,1.074
1,155.076,0.55
1,189.906,0.556
1,345.844,0.986
1,969093.287,1.007
1,380.3,1.012
1,924556.477,1.002
1,12918.365,1.025
1,693.762,1.044
1,85.767,1.034
1,259940.113,1.008
1,134.542,2.03
1,220.777,2.096
1,273.484,2.084
1,172.343,1.218
1,2134.491,2.151
1,329.469,2.084
1,2102.485,2.089
1,77.428,3.103
1,139674.814,2.14
1,21770.754,2.17
1,104.525,1.094
1,1549.999,1.167
1,504.171,2.022
1,12852.259,4.305
1,29094.888,4.494
1,27708.429,5.071
1,18619.299,7.748
1,1595.356,2.083
1,279.661,2.564
1,336.816,2.629
