truth,execution-time,plan-time
1,36.287,0.754
1,5251.559,0.314
1,872.192,0.312
1,428.941,0.207
1,1491.3,0.323
1,318.572,0.328
1,186.718,0.476
1,289.943,0.378
1,315.792,0.39
1,188.78,0.43
1,121.471,0.463
1,264.313,0.452
1,108.353,0.457
1,65.202,0.444
1,1732.34,0.425
1,112.601,0.452
1,31.127,0.37
1,85.778,0.336
1,47.095,0.236
1,234.894,0.294
1,82.165,0.318
1,590.948,0.421
1,257.418,0.421
1,49.273,0.393
1,255.622,0.868
1,82.626,0.52
1,191.68,0.886
1,2740.825,0.568
1,238.709,0.656
-1,0.0,0.0
1,5101.42,0.879
1,9219.528,1.008
1,221.148,0.996
-1,0.0,0.0
1,1834.066,0.894
1,80.2,0.887
1,608.581,0.849
-1,0.0,0.0
1,548.411,0.879
1,70.322,0.546
1,16.52,0.56
1,435.866,0.458
1,1348.518,0.954
1,1186.548,0.877
1,24.246,0.849
1,432.37,1.594
-1,0.0,0.0
1,86.745,1.877
1,4919.285,1.763
1,477.012,1.746
-1,0.0,0.0
-1,0.0,0.0
1,229.606,0.912
1,17.839,0.906
1,21.989,1.067
1,3383.65,1.075
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
1,2387.14,1.641
1,262.023,1.705
1,62.058,1.698
1,89.014,1.603
1,437.553,1.704
1,87.44,1.7
1,600.945,1.698
1,21.773,1.718
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
1,882.141,2.173
1,508.909,2.086
1,6980.843,1.656
1,1225.638,1.644
1,376.339,1.67
1,1481.917,1.648
1,158.712,1.663
1,981.132,1.66
1,313.909,0.483
1,162.045,0.473
1,439.042,0.414
1,518.175,0.418
1,1803.768,0.47
1,2373.588,0.455
1,406.96,0.583
1,211.207,0.393
1,1622.374,0.394
1,342.59,0.465
1,238.363,0.455
1,788.932,0.455
1,199.906,0.309
1,714.914,0.401
1,294.021,0.388
1,1319.437,0.81
1,982.518,0.864
1,8948.555,0.957
1,8410.816,0.901
1,486.95,0.91
1,253.937,0.597
1,326.109,0.619
1,601.734,0.612
1,885.815,1.027
1,8151.721,1.001
-1,0.0,0.0
1,1507.927,1.017
-1,0.0,0.0
-1,0.0,0.0
1,684.202,1.738
1,567.745,1.703
1,1037.061,1.668
1,802.812,1.697
1,4004.603,0.908
1,3983.678,0.957
1,9137.862,0.955
1,620.627,0.963
1,279.615,0.558
1,414.831,0.544
1,588.314,0.942
-1,0.0,0.0
1,1585.704,0.944
-1,0.0,0.0
-1,0.0,0.0
1,1450.064,0.946
1,98.47,0.954
-1,0.0,0.0
1,341.737,1.867
1,434.197,1.993
1,465.501,1.825
1,268.843,1.084
1,3367.386,1.85
1,1292.718,1.821
1,2913.696,1.872
1,293.8,1.914
-1,0.0,0.0
-1,0.0,0.0
1,340.02,0.946
1,8167.795,1.109
1,866.016,1.729
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
1,4225.077,1.743
1,469.803,2.218
1,579.742,2.229
