truth,execution-time,plan-time
1,35.389,0.686
1,2970.611,0.318
1,482.092,0.35
1,214.013,0.238
1,673.55,0.33
1,297.496,0.303
1,121.572,0.491
1,80.478,0.354
1,147.047,0.376
1,107.466,0.455
1,82.513,0.438
1,151.786,0.452
1,65.532,0.442
1,43.999,0.463
1,827.8,0.403
1,81.445,0.457
1,26.653,0.32
1,69.189,0.34
1,43.602,0.23
1,141.421,0.281
1,77.793,0.292
1,412.844,0.414
1,126.125,0.417
1,44.87,0.394
1,111.446,0.885
1,66.092,0.558
1,217.866,0.929
1,1425.955,0.623
1,150.096,0.662
1,24246.714,0.906
1,904.876,0.934
1,3608.212,1.103
1,143.851,1.105
1,79453.319,0.997
1,331.579,1.047
1,65.667,1.03
1,416.19,0.988
1,8840.604,1.01
1,266.839,1.064
1,68.235,0.61
1,31.115,0.553
1,233.703,0.527
1,750.278,0.925
1,446.289,0.964
1,545.226,0.954
1,196.105,1.949
1,9105.547,2.053
1,125.003,2.224
1,2710.667,2.016
1,146.874,2.003
1,8791.987,1.934
1,16077.724,2.084
1,154.311,1.047
1,36.572,1.037
1,184.048,1.214
1,1534.319,1.371
1,78.337,1.356
1,1561282.565,2.682
1,14422.066,2.723
1,1058.863,1.986
1,184.509,2.027
1,110.888,1.988
1,122.865,2.064
1,172.986,2.171
1,81.203,2.234
1,116.155,2.166
1,69.705,2.183
1,98932.173,2.658
1,12432.838,2.833
1,11597.488,3.911
1,8584.267,2.718
1,236.879,2.88
1,415.605,2.76
1,10326.893,2.076
1,656.436,2.126
1,257.406,2.105
1,1072.683,2.004
1,1160.007,2.104
1,526.019,2.025
1,184.777,0.506
1,107.675,0.474
1,245.946,0.451
1,313.574,0.453
1,995.547,0.517
1,996.74,0.5
1,181.239,0.639
1,122.634,0.456
1,888.493,0.431
1,297.425,0.999
1,177.812,0.508
1,646.38,0.508
1,88.78,0.347
1,352.451,0.423
1,376.95,0.593
1,516.537,0.961
1,442.641,0.978
1,3981.751,1.055
1,3581.999,1.044
1,274.151,1.497
1,147.441,0.655
1,186.086,0.653
1,366.858,0.661
1,405.137,1.082
1,2141.572,1.663
1,14448.269,1.105
1,465.146,1.117
1,44447.062,1.072
1,50147.082,1.088
1,300.438,2.097
1,313.963,2.132
1,430.41,3.039
1,400.879,2.022
1,1798.021,1.057
1,1823.964,1.051
1,3996.33,1.056
1,145.138,1.049
1,152.429,0.579
1,182.027,0.587
1,333.016,0.995
1,963987.114,1.026
1,255.708,1.045
1,942409.285,1.05
1,12854.059,1.007
1,670.034,1.036
1,103.108,1.028
1,173411.516,1.022
1,136.488,2.203
1,200.732,2.148
1,294.878,2.179
1,173.779,1.271
1,966.8,2.173
1,422.21,2.21
1,1111.74,2.188
1,95.547,2.204
1,139673.042,2.168
1,23673.623,2.203
1,79.446,1.361
1,2102.326,1.244
1,1805.672,2.178
1,13623.18,4.938
1,31240.774,4.902
1,28154.272,5.168
1,17751.863,4.886
1,2753.011,2.295
1,215.931,2.813
1,433.088,3.322
