truth,execution-time,plan-time
1,33.355,0.176
1,5039.577,0.171
1,865.047,0.211
1,424.841,0.193
1,1463.362,0.194
1,314.975,0.206
1,184.075,0.374
1,274.62,0.342
1,304.956,0.356
1,180.002,0.4
1,116.345,0.419
1,249.505,0.414
1,103.845,0.451
1,27.871,0.446
1,1609.279,0.401
1,109.353,0.45
1,31.42,0.274
1,84.365,0.328
1,44.005,0.223
1,146.32,0.265
1,77.783,0.287
1,587.351,0.375
1,256.385,0.42
1,46.491,0.381
1,162.425,0.84
1,77.922,0.496
1,58.861,0.888
1,2668.572,0.545
1,233.214,0.636
1,52740.34,0.879
1,1888.402,0.882
1,3173.479,1.003
1,162.885,1.014
1,110638.601,0.875
1,1889.687,0.917
1,83.184,0.921
1,669.883,0.87
1,21045.636,0.901
1,454.33,0.887
1,64.239,0.57
1,16.785,0.543
1,372.706,0.457
1,1347.155,0.82
1,533.336,0.871
1,18.776,0.837
1,271.227,1.596
1,12037.433,1.718
1,34.762,1.892
1,3413.353,1.762
1,37.274,1.808
1,22627.897,1.746
1,42347.464,1.741
1,232.494,0.928
1,15.254,0.884
1,23.084,1.104
1,3262.43,1.103
1,133.691,1.138
-1,0.0,0.0
1,21703.257,2.336
1,2319.735,1.641
1,246.734,1.649
1,60.227,1.556
1,83.234,1.562
1,421.379,1.665
1,85.254,1.649
1,576.366,1.659
1,20.725,1.715
1,233732.379,1.979
1,21709.429,2.109
1,40895.125,2.08
1,12450.018,2.041
1,858.081,2.058
1,492.888,2.08
1,6742.914,1.624
1,1168.815,1.608
1,354.648,1.596
1,1388.317,1.586
1,151.186,1.579
1,951.382,1.56
1,293.872,0.463
1,154.85,0.441
1,419.028,0.373
1,495.306,0.387
1,1676.843,0.438
1,2312.933,0.436
1,406.473,0.52
1,205.778,0.383
1,1613.614,0.368
1,349.149,0.47
1,243.015,0.462
1,809.107,0.458
1,209.611,0.325
1,755.131,0.4
1,303.982,0.388
1,1309.668,0.812
1,967.327,0.856
1,9034.984,0.941
1,8258.749,0.933
1,482.9,0.913
1,247.418,0.6
1,316.451,0.588
1,594.849,0.609
1,878.502,0.964
1,7961.117,0.985
1,43393.991,0.997
1,1428.365,0.988
1,99115.476,0.977
1,142568.26,0.966
1,637.032,1.651
1,541.593,1.625
1,989.045,1.615
1,772.01,1.635
1,3801.463,0.895
1,3792.506,0.932
1,8644.752,0.93
1,583.296,0.925
1,264.184,0.501
1,393.811,0.511
1,556.905,0.904
-1,0.0,0.0
1,1553.148,0.957
-1,0.0,0.0
1,28204.18,0.924
1,1407.942,0.947
1,97.162,0.944
1,566030.24,0.895
1,335.635,1.863
1,424.977,1.837
1,459.342,1.789
1,264.036,1.051
1,3369.402,1.819
1,1246.929,1.84
1,2887.749,1.828
1,290.116,1.937
1,544578.963,1.857
1,62624.333,1.871
1,347.593,0.952
1,7925.59,1.169
1,847.572,1.727
1,17801.598,3.376
1,46972.839,3.407
1,48351.149,3.402
1,24862.646,3.54
1,4102.769,1.67
1,460.476,2.19
1,602.884,2.19
