truth,execution-time,plan-time
1,36.958,0.646
1,5184.117,0.331
1,849.145,0.306
1,406.611,0.2
1,1451.207,0.332
1,309.807,0.318
1,321.873,0.485
1,434.634,0.387
1,482.553,0.383
1,263.43,0.459
1,195.649,0.46
1,310.935,0.465
1,166.008,0.455
1,108.278,0.475
1,2119.579,0.444
1,200.374,0.455
1,35.442,0.384
1,176.519,0.379
1,45.277,0.271
1,235.346,0.326
1,119.758,0.336
1,893.443,0.444
1,80.537,0.431
1,42.352,0.391
1,343.831,0.881
1,154.067,0.539
1,138.17,0.929
1,3487.734,0.616
1,285.366,0.647
-1,0.0,0.0
1,5060.063,0.946
1,9028.883,0.974
1,214.548,0.966
-1,0.0,0.0
1,1867.905,0.885
1,81.812,0.882
1,613.81,0.845
-1,0.0,0.0
1,551.638,0.877
1,66.434,0.557
1,16.564,0.554
1,431.954,0.456
1,1332.914,0.804
1,1161.833,0.854
1,24.018,0.831
1,420.806,1.587
-1,0.0,0.0
1,88.668,1.893
1,5011.478,1.773
1,470.639,1.731
-1,0.0,0.0
-1,0.0,0.0
1,240.23,0.959
1,18.316,0.935
1,23.182,1.119
1,3565.123,1.157
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
1,2451.072,1.684
1,261.071,1.716
1,63.978,1.668
1,91.302,1.636
1,450.185,1.784
1,90.857,1.772
1,606.181,1.728
1,22.058,1.768
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
1,884.032,2.12
1,506.245,2.122
1,6976.623,1.786
1,1220.823,1.694
1,376.118,1.684
1,1470.872,1.657
1,156.702,1.651
1,988.094,1.633
1,311.779,0.456
1,159.342,0.452
1,433.468,0.397
1,496.774,0.396
1,1732.414,0.449
1,2318.949,0.448
1,408.125,0.536
1,210.989,0.392
1,1585.427,0.4
1,351.235,0.451
1,236.577,0.447
1,786.539,0.435
1,200.596,0.305
1,711.557,0.384
1,298.058,0.382
1,1256.897,0.817
1,925.661,0.837
1,8820.225,0.922
1,8083.978,0.949
1,468.444,0.913
1,242.796,0.574
1,315.415,0.584
1,582.71,0.591
1,853.546,0.948
1,7807.735,0.959
-1,0.0,0.0
1,1378.83,0.979
-1,0.0,0.0
-1,0.0,0.0
1,673.481,1.736
1,563.686,1.719
1,1035.641,1.698
1,811.033,1.689
1,3958.141,0.96
1,3987.039,0.973
1,9027.565,0.956
1,616.124,0.987
1,283.568,0.567
1,414.09,0.551
1,582.059,0.961
-1,0.0,0.0
1,1552.356,0.972
-1,0.0,0.0
-1,0.0,0.0
1,1417.031,0.951
1,97.392,0.966
-1,0.0,0.0
1,337.17,1.882
1,431.463,1.808
1,460.641,1.814
1,265.853,1.071
1,3356.118,1.842
1,1254.191,1.849
1,2867.418,1.828
1,288.398,1.914
-1,0.0,0.0
-1,0.0,0.0
1,337.481,0.946
1,8104.147,1.107
1,866.954,1.74
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
1,4196.902,1.74
1,469.546,2.199
1,578.461,2.214
