truth,execution-time,plan-time
1,26.497,0.628
1,3071.568,0.269
1,469.419,0.339
1,210.471,0.221
1,675.119,0.364
1,311.48,0.351
1,329.893,0.512
1,440.998,0.407
1,229.412,0.429
1,370.205,0.473
1,137.594,0.511
1,165.401,0.511
1,563.127,0.499
1,67.23,0.554
1,1146.019,0.486
1,154.355,0.496
1,26.662,0.43
1,80.869,0.406
1,45.837,0.261
1,143.038,0.327
1,107.373,0.343
1,407.125,0.452
1,63.867,0.64
1,42.711,0.466
1,280.874,0.99
1,107.516,0.578
1,130.877,1.053
1,2552.044,0.662
1,275.11,1.036
1,25423.905,0.97
1,2862.938,1.458
1,142471.01,1.185
1,411.34,1.232
1,62352.14,1.543
1,469.17,1.076
1,95.34,1.077
1,414.664,1.57
1,15193.474,1.043
1,450.884,1.6
1,216.655,1.004
1,49.329,0.643
1,403.918,0.857
1,2450.425,0.976
1,350.149,1.071
1,90.494,0.966
1,452.262,1.987
1,6761.485,2.086
1,1208.459,3.019
1,2129.435,2.883
1,54.555,2.756
1,12261.67,2.086
1,23755.056,2.153
1,713.164,1.114
1,69.653,1.073
1,64.832,1.293
1,1923.01,1.36
1,174.486,1.341
1,1669190.46,2.714
1,20044.181,2.739
1,2138.685,2.6
1,557.207,2.716
1,155.381,2.057
1,104.444,2.154
1,289.853,2.193
1,413.594,2.159
1,166.709,2.191
1,148.847,2.225
1,79800.607,2.737
1,8572.219,2.706
1,17172.604,3.903
1,7575.881,2.735
1,994.447,2.728
1,752.097,2.771
1,4675.192,2.021
1,779.655,2.107
1,245.114,2.05
1,1897.714,1.978
1,215.41,2.152
1,809.868,1.928
1,298.589,0.498
1,152.884,0.487
1,288.387,0.44
1,261.29,0.442
1,19724.866,0.498
1,19347.665,0.524
1,283.592,0.832
1,612.931,0.451
1,1154.269,0.456
1,222.384,0.531
1,274.254,0.502
1,664.286,0.475
1,315.08,0.325
1,237.634,0.437
1,175.57,0.391
1,1550.766,0.943
1,1476.703,1.002
1,5864.98,1.1
1,4668.473,1.077
1,365.685,1.857
1,224.559,0.667
1,286.232,0.673
1,1000.038,0.69
1,514.446,1.079
1,1044.524,1.152
1,13504.778,1.115
1,314.564,1.125
1,53267.356,1.07
1,59532.742,1.067
1,587.316,2.039
1,468.141,2.039
1,815.224,2.033
1,720.895,2.062
1,1578.88,1.068
1,2761.826,1.077
1,7344.007,1.071
1,423.437,2.791
1,230.237,0.605
1,416.566,0.584
1,429.58,0.988
1,2523640.827,1.011
1,280.402,1.027
1,2459763.591,1.033
1,14691.602,0.996
1,900.944,0.993
1,137.188,0.995
1,386548.041,1.006
1,363.745,2.058
1,459.514,2.024
1,423.244,2.024
1,382.703,1.171
1,1545.471,2.056
1,628037.468,2.047
1,1639.391,2.164
1,91.341,2.132
1,169977.265,2.111
1,17823.342,2.132
1,286.21,1.094
1,1536.013,1.214
1,7111.028,2.051
1,33007.341,4.457
1,44681.133,4.511
1,66477.967,4.551
1,44292.982,4.41
1,3401.639,2.014
1,386.181,2.685
1,681.101,2.622
