truth,execution-time,plan-time
1,36.308,0.482
1,5314.716,0.293
1,881.391,0.33
1,432.877,0.208
1,1503.244,0.344
1,321.976,0.329
1,188.565,0.502
1,295.324,0.378
1,317.667,0.405
1,193.036,0.452
1,123.514,0.43
1,299.67,0.439
1,108.197,0.462
1,30.29,0.447
1,1683.169,0.391
1,116.525,0.46
1,31.189,0.337
1,87.57,0.352
1,47.105,0.237
1,233.414,0.291
1,81.908,0.319
1,901.436,0.423
1,259.396,0.416
1,49.112,0.393
1,165.628,0.876
1,77.498,0.537
1,57.314,0.916
1,2750.262,0.56
1,239.654,0.673
-1,0.0,0.0
1,5245.147,0.885
1,9332.57,1.028
1,222.469,1.005
-1,0.0,0.0
1,1939.671,0.933
1,99.83,0.98
1,655.24,1.016
-1,0.0,0.0
1,579.76,0.912
1,69.178,0.569
1,16.934,0.552
1,442.2,0.475
1,1371.76,0.841
1,1229.046,0.878
1,24.365,0.863
1,436.65,1.619
-1,0.0,0.0
1,87.907,1.872
1,5128.297,1.768
1,495.078,1.819
-1,0.0,0.0
-1,0.0,0.0
1,240.025,0.945
1,18.162,0.92
1,22.758,1.102
1,3506.615,1.109
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
1,2438.146,1.698
1,262.118,1.724
1,64.342,1.671
1,90.609,1.677
1,450.278,1.774
1,90.998,1.779
1,613.852,1.749
1,21.94,1.79
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
1,879.766,2.099
1,505.854,2.106
1,6975.571,1.67
1,1222.768,1.702
1,374.337,1.675
1,1476.763,1.658
1,157.519,1.664
1,974.346,1.678
1,308.897,0.475
1,163.143,0.448
1,445.037,0.404
1,516.212,0.404
1,1812.404,0.468
1,2424.924,0.467
1,426.255,0.56
1,215.697,0.378
1,1644.077,0.383
1,353.073,0.466
1,245.892,0.457
1,814.1,0.452
1,206.315,0.32
1,744.72,0.393
1,310.769,0.406
1,1332.809,0.857
1,963.096,0.861
1,9174.718,0.953
1,8371.668,0.934
1,466.047,0.9
1,243.558,0.575
1,311.056,0.585
1,588.706,0.596
1,850.6,0.939
1,7836.614,0.944
-1,0.0,0.0
1,1437.479,1.004
-1,0.0,0.0
-1,0.0,0.0
1,672.163,1.742
1,561.338,1.725
1,1031.82,1.697
1,805.533,1.678
1,3963.773,0.956
1,3978.038,0.974
1,9037.576,0.955
1,617.654,0.969
1,278.055,0.543
1,424.542,0.547
1,581.129,0.947
-1,0.0,0.0
1,1479.975,0.931
-1,0.0,0.0
-1,0.0,0.0
1,1418.116,0.954
1,97.246,0.949
-1,0.0,0.0
1,338.862,1.891
1,436.273,1.847
1,463.852,1.865
1,267.918,1.087
1,3427.599,1.848
1,1283.545,1.875
1,2893.028,1.851
1,294.369,1.928
-1,0.0,0.0
-1,0.0,0.0
1,339.338,0.951
1,8141.64,1.092
1,857.562,1.742
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
1,4242.816,1.748
1,475.049,2.259
1,594.443,2.272
