truth,execution-time,plan-time
1,40.195,0.661
1,2997.027,0.454
1,440.872,0.31
1,215.869,0.225
1,730.098,0.336
1,316.118,0.323
1,185.376,0.489
1,288.185,0.401
1,152.786,0.428
1,112.252,0.46
1,84.359,0.48
1,178.646,0.522
1,66.715,0.486
1,28.971,0.521
1,878.271,0.42
1,90.406,0.748
1,34.853,0.499
1,73.643,0.401
1,49.07,0.291
1,151.033,0.36
1,85.264,0.347
1,414.388,0.677
1,154.327,0.485
1,49.997,0.698
1,114.538,1.029
1,68.926,0.621
1,51.182,1.053
1,1510.288,0.646
1,158.309,0.768
1,45485.188,1.009
1,2914.324,1.436
1,1869.644,1.102
1,102.686,1.144
1,54229.361,1.011
1,1114.356,1.298
1,67.866,1.075
1,336.092,1.06
1,8923.801,1.013
1,1004.96,1.022
1,73.566,0.604
1,17.261,0.62
1,269.472,0.552
1,865.188,0.938
1,635.35,0.982
1,16.136,1.01
1,443.501,1.841
1,5722.003,1.98
1,73.822,2.221
1,3959.124,2.075
1,152.812,2.083
1,466801.755,2.058
1,24026.493,2.115
1,231.511,1.07
1,19.326,1.1
1,25.7,1.248
1,3542.658,1.289
1,14973.112,1.301
1,1547820.843,3.103
1,14356.504,2.674
1,2569.396,1.94
1,262.259,1.988
1,65.018,1.891
1,94.141,1.878
1,469.368,2.063
1,92.838,2.067
1,426.107,2.091
1,21.989,2.142
1,115275.195,2.545
1,11308.898,2.728
1,42856.63,2.484
1,6686.758,2.568
1,499.668,2.523
1,203.348,2.55
1,3643.43,1.953
1,709.087,2.699
1,187.113,1.998
1,1595.378,1.938
1,86.929,1.956
1,543.698,2.884
1,182.198,0.51
1,98.845,0.509
1,257.401,0.445
1,305.095,0.465
1,983.178,0.523
1,972.349,0.51
1,187.898,0.633
1,124.7,0.456
1,879.575,0.451
1,225.312,0.515
1,181.33,0.486
1,655.923,0.542
1,145.743,0.337
1,352.925,0.416
1,375.125,0.604
1,528.013,0.989
1,472.705,1.006
1,4968.968,1.072
1,3813.644,1.057
1,231.148,1.049
1,140.707,0.666
1,189.168,0.674
1,371.755,0.691
1,396.118,1.086
1,2163.69,1.118
1,16695.549,1.147
1,511.252,1.647
1,49340.683,1.092
1,51061.364,1.09
1,222.738,2.941
1,241.478,1.98
1,295.606,2.002
1,287.432,2.024
1,2592.285,1.065
1,3241.294,1.052
1,6307.915,1.066
1,452.62,1.058
1,158.291,0.584
1,206.878,0.598
1,429.533,1.02
1,951905.857,1.034
1,182.674,1.038
1,2499477.069,1.039
1,14518.339,1.027
1,655.148,1.02
1,82.702,1.016
1,259743.092,0.972
1,353.301,2.428
1,442.256,2.06
1,427.32,2.073
1,119.676,1.215
1,2109.697,2.07
1,1315.659,2.139
1,1604.928,2.112
1,28266.644,2.217
1,192100.214,2.119
1,24671.061,2.178
1,360.066,1.07
1,8720.045,1.234
1,501.238,2.048
1,18899.523,4.395
1,29021.971,4.541
1,30431.927,4.419
1,26452.026,4.395
1,2138.107,1.965
1,486.638,2.496
1,338.115,2.564
