truth,execution-time,plan-time
1,37.585,0.652
1,5133.944,0.336
1,864.448,0.323
1,419.329,0.206
1,1474.13,0.333
1,320.832,0.338
1,188.245,0.506
1,294.114,0.402
1,318.015,0.405
1,189.795,0.447
1,123.914,0.469
1,267.23,0.445
1,108.289,0.462
1,29.968,0.465
1,1642.595,0.394
1,111.442,0.461
1,31.367,0.368
1,86.295,0.349
1,47.678,0.237
1,153.57,0.341
1,83.67,0.31
1,584.986,0.419
1,250.075,0.408
1,47.362,0.381
1,159.288,0.86
1,75.002,0.527
1,58.505,0.888
1,2632.536,0.612
1,231.099,0.661
-1,0.0,0.0
1,5181.942,0.902
1,9322.663,1.02
1,224.132,1.001
-1,0.0,0.0
1,1931.118,0.929
1,84.919,0.919
1,638.809,0.894
-1,0.0,0.0
1,586.638,0.923
1,69.88,0.583
1,17.378,0.581
1,451.094,0.485
1,1377.628,0.833
1,1209.022,0.875
1,24.719,0.871
1,437.12,1.635
-1,0.0,0.0
1,85.113,1.806
1,4907.813,1.73
1,475.679,1.749
-1,0.0,0.0
-1,0.0,0.0
1,236.187,0.949
1,18.357,0.948
1,23.058,1.116
1,3527.589,1.13
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
1,2475.147,1.681
1,262.999,1.729
1,64.021,1.658
1,89.105,1.658
1,450.875,1.751
1,90.952,1.779
1,615.714,1.738
1,22.056,1.79
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
1,899.458,2.112
1,514.159,2.12
1,7047.563,1.667
1,1222.971,1.683
1,373.95,1.684
1,1456.662,1.649
1,156.46,1.642
1,984.714,1.642
1,311.531,0.481
1,164.639,0.453
1,447.371,0.41
1,524.123,0.411
1,1794.165,0.47
1,2445.972,0.463
1,426.816,0.554
1,217.204,0.411
1,1648.528,0.4
1,354.981,0.462
1,247.647,0.46
1,827.687,0.456
1,207.32,0.331
1,744.093,0.404
1,305.966,0.403
1,1322.286,0.835
1,1016.4,0.858
1,9008.276,0.954
1,8393.471,0.902
1,483.201,0.892
1,246.343,0.594
1,308.457,0.585
1,569.519,0.605
1,847.378,0.937
1,7765.271,0.956
-1,0.0,0.0
1,1448.986,1.004
-1,0.0,0.0
-1,0.0,0.0
1,674.046,1.736
1,560.622,1.72
1,1037.556,1.723
1,805.379,1.701
1,3940.436,0.943
1,4768.851,0.965
-1,0.0,0.0
1,632.659,0.956
1,278.028,0.545
1,413.609,0.539
1,591.203,0.944
-1,0.0,0.0
1,1600.12,0.965
-1,0.0,0.0
-1,0.0,0.0
1,1430.941,0.939
1,97.313,0.956
-1,0.0,0.0
1,334.28,1.823
1,416.002,1.76
1,444.229,1.758
1,257.004,1.019
1,3363.389,1.802
1,1261.079,1.837
1,2866.694,1.829
1,291.924,1.895
-1,0.0,0.0
-1,0.0,0.0
1,354.792,0.964
1,8449.324,1.137
1,891.212,1.791
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
1,4571.782,1.754
1,471.6,2.218
1,595.672,2.227
