truth,execution-time,plan-time
1,37.597,0.867
1,2874.019,0.317
1,436.545,0.311
1,218.915,0.225
1,694.267,0.37
1,320.774,0.428
1,187.843,0.518
1,302.268,0.418
1,155.817,0.431
1,111.888,0.58
1,88.333,0.479
1,160.122,0.537
1,69.113,0.489
1,30.98,0.609
1,881.807,0.669
1,113.798,0.477
1,32.949,0.369
1,72.273,0.36
1,44.828,0.243
1,108.404,0.321
1,80.432,0.331
1,407.596,0.411
1,134.111,0.445
1,47.406,0.617
1,110.073,0.952
1,65.464,0.574
1,60.309,1.013
1,1463.211,0.615
1,153.034,0.685
1,28301.92,0.973
1,889.057,0.971
1,1740.629,1.1
1,175.729,1.122
1,86294.804,0.979
1,344.849,1.489
1,68.805,1.473
1,260.698,1.406
1,9169.79,1.46
1,260.102,1.581
1,68.478,0.871
1,17.609,0.866
1,233.761,0.549
1,831.572,1.323
1,273.194,1.412
1,21.376,1.102
1,155.986,1.941
1,5707.01,2.52
1,30.502,3.228
1,2197.354,2.985
1,34.54,2.151
1,10583.773,3.124
1,13586.003,2.092
1,148.739,1.069
1,16.545,1.052
1,25.678,1.227
1,1599.571,1.278
1,23.525,1.324
1,1499565.794,2.709
1,7704.788,2.741
1,1205.637,2.932
1,173.983,2.029
1,36.208,1.933
1,23.882,1.945
1,192.72,2.107
1,65.188,2.097
1,161.524,2.129
1,21.283,2.188
1,93576.446,2.623
1,9444.495,2.88
1,8840.367,2.609
1,5562.528,2.917
1,546.206,2.512
1,207.123,2.676
1,2606.784,2.0
1,688.976,2.065
1,196.342,2.06
1,662.722,2.021
1,73.946,2.02
1,497.603,1.971
1,182.266,0.509
1,100.313,0.496
1,247.921,0.453
1,310.245,0.449
1,984.947,0.517
1,983.615,0.511
1,158.216,0.649
1,125.099,0.449
1,873.24,0.433
1,283.926,0.511
1,257.662,0.49
1,665.941,0.508
1,87.237,0.341
1,497.235,0.42
1,518.613,0.434
1,728.197,0.986
1,439.763,0.991
1,4876.666,1.072
1,3841.403,1.067
1,210.389,1.039
1,138.412,0.671
1,187.269,0.662
1,370.77,0.698
1,396.167,1.07
1,2190.288,1.127
1,16932.339,1.13
1,531.037,1.139
1,44211.991,1.103
1,49086.247,1.644
1,209.733,2.205
1,200.362,1.975
1,297.012,1.985
1,332.517,1.987
1,1700.26,1.045
1,1773.706,1.064
1,3904.585,1.043
1,130.333,1.061
1,154.563,0.568
1,181.54,0.591
1,342.097,1.005
1,961267.265,1.023
1,254.181,1.049
1,932148.443,1.043
1,13310.677,1.027
1,698.393,1.079
1,87.045,1.078
1,267701.009,1.057
1,138.404,2.559
1,152.867,2.154
1,251.33,2.193
1,97.707,1.259
1,988.849,2.131
1,235.325,2.198
1,1413.621,2.169
1,47.569,2.424
1,192193.226,2.164
1,14664.151,2.571
1,61.343,1.117
1,1508.11,1.247
1,514.854,3.022
1,12790.557,4.713
1,32187.456,4.647
1,30671.569,5.052
1,18299.838,4.501
1,1412.282,2.013
1,156.111,2.576
1,328.181,2.625
