truth,execution-time,plan-time
1,35.345,0.742
1,5305.955,0.274
1,865.55,0.313
1,452.694,0.201
1,1516.929,0.292
1,319.22,0.326
1,200.471,0.463
1,290.973,0.347
1,334.872,0.355
1,186.625,0.395
1,120.745,0.398
1,258.799,0.409
1,106.744,0.441
1,29.541,0.417
1,1625.477,0.388
1,111.282,0.448
1,33.295,0.339
1,86.773,0.34
1,45.894,0.216
1,151.099,0.268
1,80.128,0.285
1,597.76,0.364
1,272.651,0.37
1,47.334,0.36
1,167.746,0.854
1,91.152,0.536
1,60.267,0.89
1,2659.12,0.545
1,236.039,0.657
1,56015.563,0.85
1,1535.095,0.858
1,3166.937,0.972
1,181.776,1.005
1,119398.086,0.849
1,579.141,0.909
1,50.417,0.873
1,673.763,0.856
1,21081.923,0.85
1,494.052,0.894
1,63.371,0.544
1,17.054,0.541
1,378.288,0.456
1,1341.124,0.826
1,440.813,0.856
1,20.412,0.817
1,333.94,1.607
1,12144.752,1.703
1,34.747,1.842
1,3895.908,1.729
1,34.617,1.772
1,22777.919,1.709
1,34233.23,1.766
1,232.135,0.948
1,15.648,0.896
1,23.643,1.102
1,3547.452,1.114
1,20.184,1.11
-1,3000000.0,0.0
1,23418.0,2.315
1,2406.306,1.662
1,255.74,1.694
1,63.868,1.589
1,86.226,1.614
1,449.026,1.718
1,89.91,1.702
1,604.273,1.722
1,21.681,1.766
1,257962.66,2.047
1,23863.977,2.127
1,42221.911,2.102
1,14060.496,2.103
1,880.235,2.069
1,530.055,2.067
1,6842.024,1.644
1,1252.422,1.666
1,371.231,1.636
1,1416.406,1.63
1,164.218,1.594
1,968.227,1.588
1,298.859,0.464
1,158.823,0.419
1,443.889,0.36
1,511.535,0.384
1,1733.566,0.444
1,2624.128,0.419
1,436.595,0.515
1,224.499,0.358
1,1621.081,0.363
1,346.921,0.421
1,242.948,0.412
1,795.614,0.417
1,204.952,0.292
1,778.939,0.36
1,310.336,0.356
1,1314.634,0.79
1,954.631,0.862
1,8831.482,0.946
1,8555.095,0.942
1,482.736,0.922
1,247.883,0.561
1,317.531,0.595
1,588.68,0.612
1,903.799,0.941
1,8278.394,0.947
1,45402.703,0.975
1,1457.386,0.986
1,107121.404,0.969
1,150287.309,0.962
1,692.358,1.704
1,586.362,1.668
1,1051.844,1.644
1,843.613,1.673
1,4091.226,0.904
1,4081.571,0.963
1,9250.407,0.942
1,643.174,0.954
1,277.51,0.502
1,410.697,0.498
1,591.677,0.933
-1,3000000.0,0.0
1,1534.388,0.954
-1,3000000.0,0.0
1,31260.822,0.93
1,1453.543,0.936
1,98.153,0.891
1,582744.845,0.864
1,334.437,1.747
1,413.696,1.695
1,441.685,1.728
1,261.937,1.008
1,3397.566,1.733
1,1242.653,1.75
1,2864.169,1.735
1,280.241,1.818
1,590760.33,1.752
1,64510.173,1.872
1,349.811,0.949
1,8477.498,1.088
1,879.319,1.769
1,17575.867,3.471
1,47261.945,3.37
1,48797.353,3.375
1,24663.007,3.545
1,4176.5,1.721
1,472.776,2.195
1,585.169,2.23
