truth,execution-time,plan-time
1,34.736,0.447
1,5313.751,0.158
1,868.149,0.204
1,452.439,0.187
1,1514.621,0.167
1,321.706,0.194
1,198.492,0.344
1,290.879,0.331
1,316.351,0.342
1,186.984,0.381
1,120.18,0.385
1,259.32,0.389
1,167.946,0.419
1,29.388,0.423
1,1654.895,0.391
1,112.731,0.432
1,33.626,0.259
1,101.42,0.341
1,63.167,0.226
1,149.239,0.266
1,79.914,0.257
1,602.45,0.385
1,272.073,0.384
1,48.864,0.367
1,165.918,0.849
1,88.974,0.491
1,60.465,0.885
1,2708.271,0.551
1,553.482,0.658
1,56535.958,0.865
1,1560.337,0.877
1,9538.027,1.016
1,224.191,1.012
1,120688.776,0.882
1,1938.573,0.929
1,87.643,0.917
1,799.553,0.868
1,16059.332,0.885
1,690.024,0.91
1,70.124,0.572
1,17.083,0.556
1,576.398,0.466
1,1469.579,0.827
1,534.054,0.879
1,20.623,0.839
1,283.637,1.62
1,15507.143,1.719
1,56.081,1.868
1,3492.2,1.738
1,277.182,1.792
1,24144.096,1.73
1,59047.98,1.787
1,396.734,0.957
1,16.37,0.948
1,119.517,1.095
1,2423.282,1.138
1,86.047,1.161
1,2595080.612,2.291
1,26494.302,2.343
1,2382.507,1.704
1,251.655,1.746
1,75.596,1.637
1,37.648,1.643
1,459.706,1.735
1,102.805,1.724
1,608.443,1.717
1,21.885,1.743
1,288987.119,2.068
1,26578.418,2.201
1,22987.545,2.145
1,12973.041,2.13
1,895.714,2.113
1,411.761,2.053
1,9372.658,1.605
1,1400.653,1.67
1,331.567,1.675
1,29397.949,1.649
1,130.194,1.626
1,2734.73,1.603
1,303.426,0.473
1,406.509,0.452
1,442.832,0.41
1,515.481,0.423
1,1754.229,0.474
1,2656.214,0.464
1,339.441,0.543
1,199.505,0.413
1,1648.096,0.375
1,355.122,0.452
1,342.738,0.423
1,830.806,0.439
1,115.05,0.305
1,1389.395,0.363
1,315.523,0.404
1,1319.095,0.825
1,1065.706,0.846
1,8633.788,0.928
1,6355.477,0.944
1,486.975,0.948
1,250.002,0.561
1,391.128,0.595
1,592.509,0.605
1,860.111,0.951
1,8453.56,0.985
1,39071.926,0.994
1,1444.081,1.009
1,81628.66,0.977
1,90137.544,0.975
1,753.442,1.76
1,530.478,1.677
1,769.601,1.645
1,730.777,1.674
1,4652.675,0.937
1,5267.329,0.967
1,7008.096,0.96
1,1029.829,0.981
1,280.144,0.525
1,367.516,0.535
1,579.192,0.937
1,1725416.272,0.921
1,416.469,0.975
1,2269878.366,0.912
1,39840.143,0.983
1,1553.781,0.961
1,123.44,0.915
1,777748.611,0.878
1,243.314,1.853
1,276.578,1.85
1,508.668,1.841
1,135.172,1.072
1,1605.985,1.832
1,409.149,1.834
1,3221.122,1.826
1,208.552,1.902
1,347155.333,1.833
1,59152.954,1.921
1,93.83,0.982
1,2425.908,1.087
1,12277.589,1.769
1,29866.387,3.575
1,127976.563,3.567
1,70337.01,3.578
1,73049.95,3.549
1,23183.064,1.962
1,1457.846,2.237
1,907.242,2.17
