truth,execution-time,plan-time
1,34.508,0.448
1,5310.021,0.155
1,864.929,0.192
1,451.55,0.174
1,1503.991,0.201
1,322.836,0.2
1,198.295,0.338
1,289.781,0.336
1,330.165,0.329
1,184.368,0.381
1,119.043,0.375
1,257.033,0.395
1,106.581,0.427
1,29.336,0.4
1,1617.525,0.377
1,111.167,0.418
1,32.565,0.258
1,87.83,0.336
1,46.192,0.213
1,146.956,0.257
1,80.109,0.246
1,596.241,0.362
1,268.96,0.374
1,47.589,0.363
1,240.323,0.843
1,78.86,0.459
1,59.348,0.871
1,2642.789,0.537
1,231.901,0.631
1,57205.962,0.846
1,1948.884,0.88
1,3132.94,0.999
1,175.812,0.991
1,119740.295,0.859
1,1934.069,0.915
1,85.551,0.863
1,688.334,0.85
1,16273.057,0.837
1,452.105,0.912
1,64.683,0.553
1,16.795,0.529
1,436.516,0.461
1,1318.571,0.825
1,537.952,0.851
1,19.799,0.84
1,281.097,1.602
1,12237.545,1.694
1,33.752,1.857
1,3249.477,1.724
1,34.872,1.778
1,22921.074,1.708
1,43420.812,1.748
1,230.843,0.931
1,15.272,0.889
1,23.261,1.093
1,3467.143,1.099
1,134.038,1.124
1,2637027.29,2.268
1,55547.699,2.386
1,2591.261,1.715
1,256.504,1.704
1,64.048,1.608
1,83.537,1.624
1,189.288,1.703
1,86.023,1.685
1,292.584,1.704
1,21.788,1.724
1,162337.143,2.05
1,23624.624,2.156
1,42106.13,2.12
1,12592.927,2.115
1,887.123,2.069
1,525.028,2.037
1,6844.613,1.594
1,1376.614,1.688
1,329.667,1.68
1,1386.204,1.629
1,158.096,1.55
1,1003.649,1.529
1,291.588,0.451
1,154.586,0.404
1,411.785,0.385
1,493.963,0.403
1,1698.455,0.433
1,2604.035,0.454
1,236.778,0.517
1,197.3,0.371
1,1615.598,0.351
1,337.534,0.434
1,249.6,0.436
1,793.674,0.438
1,112.527,0.304
1,775.191,0.371
1,309.945,0.343
1,1294.243,0.795
1,962.331,0.855
1,8588.186,0.949
1,8492.694,0.938
1,314.444,0.92
1,246.448,0.546
1,320.186,0.586
1,586.745,0.61
1,995.937,0.956
1,3171.418,0.95
1,45840.344,0.979
1,1423.064,0.991
1,107625.917,0.979
1,114253.522,0.917
1,812.918,1.617
1,720.675,1.598
1,922.515,1.595
1,1047.623,1.592
1,2926.587,0.865
1,3052.104,0.909
1,6681.036,0.918
1,243.322,0.929
1,233.077,0.478
1,396.955,0.479
1,420.76,0.894
1,1696898.764,0.865
1,368.011,0.953
1,1635083.86,0.897
1,22864.183,0.926
1,1467.939,0.943
1,91.758,0.911
1,461740.237,0.865
1,391.506,1.866
1,280.935,1.816
1,417.46,1.815
1,165.537,1.064
1,829.857,1.804
1,316.631,1.789
1,3155.588,1.742
1,43.547,1.856
1,587348.745,1.784
1,48666.789,1.843
1,107.789,0.967
1,3624.605,1.133
1,862.268,1.808
1,18369.111,3.459
1,48298.107,3.556
1,47562.477,3.499
1,24307.788,3.551
1,4929.696,1.732
1,298.403,2.275
1,711.63,2.205
