truth,execution-time,plan-time
1,34.772,0.677
1,5130.21,0.265
1,851.674,0.309
1,441.723,0.198
1,1458.399,0.307
1,309.059,0.316
1,191.064,0.449
1,281.676,0.332
1,324.803,0.365
1,179.145,0.394
1,117.203,0.388
1,250.252,0.427
1,104.837,0.414
1,64.11,0.413
1,1587.467,0.381
1,108.954,0.425
1,32.377,0.328
1,84.101,0.333
1,45.104,0.206
1,227.728,0.263
1,78.938,0.26
1,580.033,0.381
1,266.592,0.369
1,47.027,0.358
1,249.262,0.83
1,84.048,0.47
1,192.978,0.846
1,2589.702,0.552
1,233.728,0.643
1,54504.512,0.843
1,1914.018,0.849
1,9313.804,0.961
1,246.949,0.967
1,115732.54,0.835
1,582.395,0.914
1,91.83,0.889
1,842.406,0.859
1,21053.946,0.869
1,570.526,0.873
1,63.419,0.538
1,30.314,0.517
1,380.612,0.441
1,1820.867,0.788
1,769.842,0.822
1,310.471,0.81
1,459.327,1.571
1,18497.986,1.694
1,54.182,1.77
1,3757.329,1.692
1,498.161,1.735
1,13369.434,1.672
1,47031.706,1.762
1,247.58,0.934
1,35.809,0.915
1,361.651,1.091
1,3386.908,1.117
1,85.328,1.19
1,2639774.086,2.278
1,18043.248,2.314
1,5043.665,1.641
1,1152.02,1.736
1,151.106,1.672
1,163.424,1.655
1,253.459,1.766
1,117.074,1.685
1,200.133,1.672
1,99.666,1.676
1,280190.398,2.012
1,32065.996,2.164
1,23951.141,2.127
1,35038.055,2.167
1,570.178,2.108
1,711.285,2.129
1,9103.833,1.627
1,1096.406,1.634
1,393.139,1.663
1,2197.229,1.616
1,1787.962,1.584
1,1135.122,1.625
1,292.024,0.459
1,192.604,0.4
1,422.2,0.368
1,513.1,0.407
1,1744.416,0.48
1,2637.482,0.421
1,342.345,0.541
1,198.365,0.407
1,1641.392,0.35
1,347.961,0.456
1,245.454,0.468
1,799.553,0.446
1,114.209,0.327
1,485.224,0.361
1,309.605,0.342
1,1488.645,0.778
1,1015.97,0.836
1,8510.408,0.953
1,8594.725,0.938
1,497.289,0.923
1,240.933,0.556
1,320.096,0.581
1,588.37,0.595
1,940.018,0.936
1,8464.71,0.954
1,45220.697,0.993
1,1455.671,0.957
1,79634.169,0.934
1,116289.948,0.957
1,852.6,1.728
1,752.443,1.694
1,1114.0,1.747
1,1105.714,1.739
1,4067.81,0.928
1,4238.208,0.96
1,9249.291,0.949
1,278.896,0.952
1,280.275,0.538
1,332.333,0.556
1,686.17,0.938
1,1719940.414,0.913
1,395.645,0.964
1,1657959.021,0.876
1,22548.193,0.889
1,1756.082,0.923
1,153.481,0.892
1,453607.394,0.835
1,519.824,1.831
1,456.487,1.76
1,650.526,1.772
1,166.306,1.011
1,1154.161,1.748
1,396.915,1.791
1,2438.344,1.77
1,195.123,1.837
1,569947.003,1.767
1,39225.084,1.874
1,137.054,0.971
1,3796.124,1.132
1,3186.473,1.83
1,19938.252,3.596
1,56356.852,3.614
1,47678.973,3.691
1,28241.188,3.554
1,4562.469,1.698
1,318.979,2.378
1,997.084,2.164
