truth,execution-time,plan-time
1,34.904,0.443
1,5330.195,0.159
1,873.349,0.19
1,455.037,0.185
1,1518.194,0.168
1,324.112,0.19
1,198.966,0.337
1,291.052,0.331
1,333.376,0.335
1,186.271,0.381
1,120.513,0.376
1,259.047,0.39
1,108.336,0.416
1,29.43,0.403
1,1646.453,0.381
1,111.974,0.415
1,33.723,0.261
1,87.619,0.339
1,46.228,0.215
1,150.178,0.256
1,89.387,0.244
1,605.077,0.364
1,276.14,0.373
1,49.209,0.366
1,215.236,0.858
1,86.669,0.474
1,59.717,0.881
1,2688.576,0.554
1,240.134,0.641
1,56364.662,0.854
1,2001.545,0.9
1,9595.737,0.998
1,185.094,1.003
1,119713.819,0.868
1,1949.132,0.929
1,86.927,0.9
1,708.808,0.86
1,16410.03,0.859
1,467.174,0.92
1,63.997,0.563
1,17.428,0.539
1,378.912,0.472
1,1727.871,0.834
1,444.176,0.863
1,57.572,0.838
1,254.572,1.626
1,14925.646,1.74
1,42.938,1.877
1,5305.317,1.729
1,277.483,1.801
1,23124.419,1.738
1,61941.935,1.778
1,250.169,0.941
1,15.801,0.928
1,420.486,1.101
1,2360.687,1.128
1,1501.793,1.13
1,2805755.844,2.305
1,27464.203,2.305
1,2568.918,1.689
1,274.532,1.746
1,65.48,1.625
1,82.872,1.642
1,188.326,1.749
1,68.383,1.713
1,330.798,1.715
1,22.735,1.784
1,184528.095,2.072
1,30303.55,2.174
1,26132.882,2.096
1,13135.329,2.183
1,902.797,2.102
1,411.35,2.081
1,7199.102,1.617
1,1197.926,1.708
1,371.547,1.681
1,8594.804,1.662
1,167.049,1.646
1,2738.744,1.609
1,302.702,0.472
1,160.84,0.422
1,431.981,0.367
1,521.212,0.398
1,1752.858,0.471
1,2673.362,0.457
1,267.472,0.548
1,199.017,0.38
1,1640.062,0.363
1,344.837,0.453
1,244.34,0.447
1,806.725,0.44
1,114.813,0.305
1,787.159,0.391
1,312.638,0.35
1,1318.895,0.795
1,789.585,0.866
1,8909.124,0.96
1,8697.998,0.941
1,326.287,0.927
1,249.706,0.559
1,322.848,0.583
1,593.548,0.613
1,860.315,0.972
1,8462.72,1.005
1,45945.52,0.992
1,1446.28,1.01
1,81665.113,0.989
1,120901.352,0.98
1,558.67,1.749
1,635.254,1.733
1,774.871,1.672
1,660.081,1.688
1,3061.651,0.912
1,5129.652,0.98
1,6990.03,0.957
1,277.65,0.97
1,245.701,0.509
1,343.092,0.522
1,681.914,0.937
1,1749177.065,0.912
1,394.319,0.963
1,1673855.348,0.899
1,22517.261,0.908
1,1403.021,0.92
1,96.667,0.884
1,453761.282,0.852
1,271.815,1.794
1,244.939,1.799
1,437.758,1.797
1,164.289,1.052
1,3488.18,1.777
1,397.377,1.798
1,2816.446,1.774
1,127.185,1.828
1,328127.362,1.747
1,39947.301,1.841
1,87.385,1.012
1,2295.955,1.08
1,4338.947,1.668
1,23473.382,3.452
1,47921.161,3.427
1,45600.523,3.403
1,23548.487,3.476
1,22889.452,1.683
1,255.795,2.277
1,610.515,2.2
