truth,execution-time,plan-time
1,34.355,0.316
1,5286.595,0.154
1,860.525,0.205
1,448.009,0.191
1,1502.439,0.176
1,320.772,0.182
1,343.505,0.337
1,444.377,0.326
1,499.239,0.34
1,263.769,0.398
1,188.344,0.386
1,325.116,0.399
1,162.598,0.401
1,101.062,0.4
1,2142.018,0.387
1,194.59,0.429
1,37.223,0.27
1,180.643,0.333
1,45.622,0.229
1,228.844,0.258
1,117.517,0.265
1,939.313,0.383
1,84.39,0.386
1,42.446,0.363
1,346.675,0.848
1,154.712,0.484
1,128.255,0.889
1,3508.653,0.56
1,278.512,0.619
1,57289.618,0.876
1,1753.766,0.85
1,4056.741,0.938
1,334.106,0.962
1,145810.478,0.819
1,758.293,0.916
1,125.458,0.904
1,644.988,0.865
1,21143.88,0.856
1,612.543,0.9
1,194.916,0.569
1,46.91,0.556
1,808.293,0.47
1,1885.855,0.821
1,505.304,0.855
1,167.932,0.836
1,514.046,1.645
1,15653.438,1.742
1,2585.097,1.862
1,5099.274,1.787
1,72.004,1.774
1,21412.088,1.715
1,58093.487,1.765
1,974.35,0.935
1,125.069,0.912
1,90.435,1.104
1,3077.442,1.134
1,217.508,1.187
-1,3000000.0,0.0
1,23928.546,2.42
1,2374.415,1.666
1,256.163,1.721
1,64.94,1.601
1,85.928,1.602
1,449.113,1.704
1,89.81,1.696
1,605.401,1.692
1,21.827,1.764
1,251825.202,2.046
1,23075.686,2.063
1,42138.204,2.073
1,13975.856,2.097
1,880.964,2.077
1,530.545,2.015
1,6768.013,1.596
1,1250.052,1.66
1,369.09,1.642
1,1417.235,1.639
1,164.839,1.619
1,965.701,1.586
1,300.033,0.475
1,159.412,0.415
1,443.915,0.368
1,510.493,0.382
1,1729.517,0.443
1,2612.661,0.419
1,434.294,0.548
1,224.874,0.372
1,1632.066,0.367
1,348.365,0.438
1,241.937,0.419
1,797.433,0.439
1,203.751,0.288
1,780.003,0.367
1,309.598,0.354
1,1307.437,0.794
1,960.389,0.859
1,8817.902,0.953
1,8587.066,0.926
1,483.378,0.924
1,248.424,0.582
1,318.16,0.597
1,583.355,0.591
1,899.94,0.936
1,8286.041,0.95
1,45492.72,0.989
1,1455.468,0.988
1,106288.941,0.971
1,149592.896,0.963
1,663.7,1.637
1,563.78,1.608
1,1009.946,1.582
1,799.662,1.617
1,4001.595,0.873
1,4081.196,0.948
1,9258.286,0.954
1,642.685,0.947
1,276.464,0.502
1,413.063,0.498
1,588.862,0.931
-1,3000000.0,0.0
1,1538.812,0.956
-1,3000000.0,0.0
1,30186.105,0.892
1,1397.221,0.903
1,93.442,0.869
1,570661.107,0.828
1,348.736,1.878
1,431.229,1.793
1,455.67,1.78
1,269.621,1.043
1,3541.722,1.801
1,1287.988,1.84
1,2969.987,1.818
1,292.016,1.893
1,556849.762,1.825
1,63304.29,1.868
1,338.523,0.923
1,8168.396,1.047
1,844.618,1.719
1,18177.456,3.337
1,48234.552,3.477
1,49345.278,3.357
1,23744.295,3.412
1,4037.454,1.661
1,454.286,2.106
1,552.929,2.114
