truth,execution-time,plan-time
1,34.799,0.281
1,5347.824,0.16
1,874.418,0.201
1,452.625,0.175
1,1524.124,0.165
1,323.454,0.203
1,199.665,0.339
1,291.04,0.335
1,334.097,0.33
1,185.091,0.376
1,119.799,0.385
1,341.962,0.399
1,107.998,0.403
1,28.968,0.397
1,1649.432,0.385
1,127.549,0.443
1,33.676,0.263
1,87.249,0.344
1,45.979,0.213
1,230.083,0.252
1,80.1,0.266
1,948.24,0.367
1,275.22,0.377
1,49.612,0.394
1,167.313,0.859
1,81.456,0.503
1,59.144,0.871
1,2671.647,0.541
1,236.395,0.638
1,85077.801,0.823
1,13317.372,0.876
-1,3000000.0,0.0
1,241.796,0.983
1,117119.314,0.848
1,1890.15,0.895
1,84.798,0.889
1,654.449,0.843
1,20659.606,0.848
1,575.187,0.881
1,68.632,0.556
1,16.967,0.531
1,426.463,0.457
1,1312.261,0.814
1,1164.896,0.843
1,24.883,0.823
1,422.736,1.575
1,14435.955,1.669
1,87.883,1.809
1,5129.917,1.679
1,488.714,1.74
1,20989.16,1.677
1,60156.628,1.704
1,223.408,0.904
1,17.779,0.861
1,22.972,1.058
1,3761.628,1.07
1,13568.837,1.084
-1,3000000.0,0.0
1,24580.553,2.375
1,2395.731,1.695
1,258.112,1.746
1,65.614,1.622
1,88.232,1.635
1,453.719,1.737
1,90.616,1.718
1,607.373,1.724
1,21.993,1.792
1,260695.488,2.07
1,24021.123,2.158
1,42620.198,2.123
1,14197.749,2.13
1,896.34,2.101
1,533.641,2.097
1,6874.867,1.628
1,1260.832,1.699
1,374.762,1.663
1,1445.366,1.664
1,166.904,1.652
1,977.184,1.609
1,301.815,0.482
1,160.503,0.433
1,449.129,0.369
1,516.923,0.395
1,1755.683,0.452
1,2654.043,0.462
1,438.486,0.522
1,227.358,0.376
1,1638.358,0.369
1,351.222,0.457
1,244.278,0.428
1,806.693,0.435
1,207.808,0.32
1,793.272,0.38
1,315.018,0.387
1,1318.494,0.811
1,969.681,0.87
1,8986.85,0.958
1,8682.249,0.949
1,489.346,0.928
1,251.033,0.582
1,322.996,0.602
1,598.578,0.61
1,912.515,0.975
1,8385.245,0.964
1,45930.405,0.997
1,1478.61,1.013
1,107891.125,0.986
1,151993.251,0.972
1,699.367,1.747
1,591.652,1.714
1,1063.396,1.689
1,843.891,1.707
1,4117.473,0.918
1,4135.911,0.968
1,9350.122,0.962
1,646.218,0.961
1,279.093,0.518
1,417.073,0.511
1,596.619,0.944
-1,3000000.0,0.0
1,1497.72,0.934
-1,3000000.0,0.0
1,31832.985,0.925
1,1464.126,0.941
1,98.462,0.916
1,597892.516,0.878
1,351.464,1.893
1,433.401,1.826
1,460.813,1.802
1,272.682,1.053
1,3602.136,1.821
1,1299.891,1.836
1,2969.334,1.828
1,294.7,1.906
1,570252.982,1.851
1,65014.764,1.907
1,353.901,0.97
1,8546.033,1.103
1,875.44,1.799
1,18402.06,3.508
1,48457.156,3.518
1,49449.718,3.523
1,24813.733,3.6
1,4206.575,1.752
1,475.386,2.238
1,587.029,2.236
