truth,execution-time,plan-time
1,35.995,0.506
1,5315.444,0.294
1,871.864,0.308
1,453.809,0.2
1,1517.805,0.311
1,321.719,0.305
1,198.874,0.461
1,292.152,0.353
1,344.347,0.362
1,185.628,0.398
1,121.512,0.403
1,294.075,0.415
1,107.826,0.422
1,30.2,0.408
1,1631.11,0.391
1,114.501,0.429
1,33.131,0.336
1,87.043,0.341
1,46.379,0.219
1,232.901,0.273
1,81.964,0.32
1,945.072,0.405
1,273.04,0.379
1,48.946,0.369
1,167.139,0.858
1,81.431,0.496
1,57.743,0.892
1,2668.512,0.549
1,237.731,0.668
1,90824.34,0.868
1,5459.253,0.9
1,9529.899,1.017
1,252.047,1.011
1,120315.918,0.871
1,1954.414,0.923
1,87.394,0.919
1,668.855,0.871
1,21344.868,0.869
1,595.462,0.93
1,70.708,0.565
1,17.535,0.551
1,438.425,0.472
1,1354.809,0.829
1,1198.731,0.867
1,25.687,0.845
1,438.152,1.608
1,14941.057,1.708
1,91.276,1.871
1,5375.182,1.747
1,514.323,1.812
1,21574.473,1.736
1,59300.541,1.804
1,232.788,0.95
1,18.498,0.899
1,23.935,1.101
1,3876.43,1.115
1,14109.619,1.119
-1,3000000.0,0.0
1,23337.475,2.356
1,2427.576,1.698
1,258.776,1.741
1,65.52,1.626
1,88.827,1.638
1,456.634,1.726
1,91.262,1.729
1,615.566,1.733
1,22.25,1.781
1,261558.496,2.061
1,24255.711,2.156
1,42669.391,2.146
1,14185.642,2.13
1,889.324,2.097
1,535.375,2.067
1,6872.624,1.626
1,1264.667,1.705
1,375.606,1.664
1,1438.675,1.648
1,167.437,1.66
1,982.503,1.606
1,303.267,0.481
1,160.457,0.419
1,438.544,0.372
1,516.286,0.374
1,1749.959,0.437
1,2660.935,0.445
1,437.935,0.523
1,218.063,0.369
1,1638.177,0.367
1,362.891,0.452
1,244.825,0.431
1,804.171,0.432
1,206.507,0.286
1,790.035,0.371
1,314.498,0.362
1,1315.037,0.807
1,969.769,0.869
1,8917.695,0.967
1,8667.187,0.953
1,488.728,0.931
1,250.206,0.576
1,322.047,0.604
1,598.711,0.609
1,920.007,0.968
1,8362.092,0.994
1,46120.315,0.991
1,1475.707,1.021
1,107868.046,0.984
1,151446.499,0.973
1,693.013,1.725
1,586.983,1.676
1,1056.956,1.656
1,841.522,1.716
1,4120.425,0.915
1,4118.883,0.968
1,9362.727,0.964
1,643.387,0.964
1,279.093,0.507
1,413.939,0.522
1,596.739,0.937
-1,3000000.0,0.0
1,1553.014,0.953
-1,3000000.0,0.0
1,31762.624,0.928
1,1482.952,0.95
1,97.579,0.93
1,590723.205,0.892
1,353.062,1.882
1,436.027,1.839
1,465.021,1.84
1,275.491,1.079
1,3594.427,1.863
1,1299.55,1.842
1,2983.318,1.83
1,298.355,1.918
1,578808.475,1.842
1,65454.868,1.891
1,354.229,0.975
1,8561.392,1.096
1,880.852,1.797
1,18388.228,3.508
1,48653.155,3.557
1,49725.929,3.58
1,24842.039,3.752
1,4201.097,1.741
1,478.671,2.241
1,577.934,2.239
