truth,execution-time,plan-time
1,38.411,1.041
1,5331.759,0.394
1,876.585,0.358
1,452.385,0.205
1,1500.397,0.378
1,329.4,0.36
1,199.321,0.518
1,291.089,0.346
1,337.852,0.406
1,185.589,0.41
1,120.515,0.408
1,259.802,0.404
1,107.356,0.437
1,37.763,0.414
1,1618.693,0.396
1,110.491,0.434
1,32.415,0.389
1,86.964,0.33
1,45.84,0.212
1,147.628,0.275
1,80.56,0.311
1,593.264,0.365
1,267.207,0.366
1,47.038,0.369
1,163.201,0.849
1,78.52,0.51
1,59.165,0.866
1,2662.418,0.543
1,235.727,0.663
1,56151.538,0.861
1,1542.195,0.841
1,3139.629,0.962
1,175.948,1.004
1,120584.466,0.85
1,577.19,0.903
1,52.17,0.865
1,635.272,0.85
1,15880.687,0.838
1,451.184,0.905
1,64.952,0.566
1,16.733,0.519
1,376.181,0.463
1,1319.765,0.819
1,438.86,0.87
1,20.556,0.821
1,256.848,1.591
1,9329.762,1.729
1,33.894,1.85
1,3799.882,1.725
1,39.668,1.733
1,13489.453,1.708
1,46748.867,1.793
1,227.537,0.911
1,15.469,0.892
1,22.951,1.077
1,3494.473,1.095
1,20.509,1.158
1,2620246.649,2.241
1,13377.096,2.305
1,2048.455,1.668
1,256.234,1.719
1,59.684,1.608
1,37.337,1.623
1,186.932,1.712
1,63.459,1.674
1,293.069,1.681
1,20.284,1.74
1,160386.24,2.044
1,16703.322,2.138
1,23351.19,2.131
1,9576.768,2.1
1,893.882,2.062
1,400.998,2.01
1,6705.591,1.583
1,1195.614,1.659
1,306.498,1.638
1,1241.369,1.642
1,128.902,1.604
1,1032.692,1.589
1,298.696,0.452
1,158.796,0.407
1,420.941,0.364
1,505.679,0.389
1,1755.192,0.446
1,2623.629,0.407
1,257.152,0.54
1,199.002,0.376
1,1613.327,0.413
1,338.317,0.445
1,240.344,0.432
1,787.685,0.424
1,111.842,0.284
1,481.459,0.362
1,309.16,0.339
1,1287.725,0.788
1,779.379,0.846
1,8487.963,0.951
1,8195.697,0.925
1,311.699,0.901
1,239.242,0.554
1,318.447,0.578
1,581.646,0.601
1,897.583,0.941
1,3166.752,0.939
1,38339.3,0.964
1,1418.428,0.977
1,79647.032,0.955
1,118180.427,0.957
1,509.222,1.712
1,522.357,1.641
1,727.667,1.645
1,640.421,1.651
1,2997.725,0.892
1,3124.84,0.96
1,6881.436,0.946
1,229.44,0.958
1,241.948,0.49
1,325.471,0.523
1,429.467,0.907
1,1690887.336,0.891
1,289.646,0.945
1,1660964.891,0.884
1,23123.759,3.016
1,1455.985,0.94
1,93.855,0.901
1,461904.62,0.863
1,205.584,1.788
1,253.142,1.785
1,456.896,1.714
1,107.28,1.008
1,1062.216,14.123
1,221.222,1.776
1,2920.297,1.694
1,42.191,1.757
1,336479.247,1.695
1,55287.416,1.832
1,109.664,0.929
1,3536.61,1.051
1,848.095,1.711
1,18285.725,3.397
1,48590.547,3.51
1,47167.558,3.515
1,25322.761,3.579
1,3918.737,1.733
1,247.157,2.187
1,577.028,2.205
