truth,execution-time,plan-time
1,33.264,0.401
1,5097.567,0.148
1,831.784,0.181
1,433.023,0.185
1,1447.182,0.16
1,308.229,0.165
1,190.533,0.325
1,277.915,0.315
1,325.044,0.318
1,178.107,0.354
1,115.221,0.372
1,247.737,0.382
1,106.982,0.411
1,28.246,0.39
1,1579.596,0.38
1,106.499,0.413
1,31.898,0.247
1,83.18,0.323
1,44.178,0.208
1,220.307,0.246
1,76.747,0.259
1,577.65,0.356
1,262.687,0.365
1,46.47,0.357
1,159.682,0.813
1,78.623,0.456
1,56.89,0.822
1,2568.46,0.524
1,224.747,0.596
1,54318.114,0.794
1,1893.037,0.824
1,3090.827,0.935
1,29.88,0.945
1,141567.46,0.813
1,574.419,0.904
1,49.035,0.872
1,614.913,0.839
1,15931.299,0.824
1,491.675,0.901
1,64.926,0.566
1,16.991,0.523
1,374.48,0.463
1,1340.694,0.802
1,1544.254,0.849
1,20.61,0.862
1,270.993,1.606
1,953809.941,1.64
-1,3000000.0,0.0
1,5045.13,1.722
1,483.066,1.72
1,20403.069,1.676
1,55602.722,1.672
1,220.778,0.894
1,17.531,0.843
1,22.583,1.042
1,3763.469,1.051
1,13981.193,1.105
-1,3000000.0,0.0
1,23772.961,2.357
1,2367.787,1.664
1,256.574,1.71
1,64.76,1.599
1,86.463,1.591
1,448.852,1.71
1,89.718,1.689
1,602.663,1.694
1,21.675,1.75
1,250998.053,2.039
1,23756.19,2.125
1,40532.274,1.971
1,13982.671,2.093
1,878.821,2.069
1,532.197,2.048
1,6787.88,1.596
1,1246.289,1.671
1,369.433,1.629
1,1414.124,1.629
1,162.988,1.629
1,967.046,1.591
1,297.572,0.458
1,158.068,0.403
1,442.509,0.365
1,509.922,0.403
1,1721.783,0.449
1,2605.7,0.411
1,432.927,0.528
1,224.464,0.357
1,1618.041,0.361
1,347.205,0.421
1,242.061,0.417
1,796.604,0.412
1,203.41,0.274
1,777.648,0.367
1,309.275,0.349
1,1307.336,0.793
1,955.038,0.852
1,8801.432,0.942
1,8561.566,0.94
1,481.493,0.915
1,246.677,0.559
1,318.038,0.59
1,584.204,0.582
1,901.957,0.94
1,8310.812,0.95
1,45384.333,0.977
1,1457.986,0.985
1,106423.423,0.962
1,149610.92,0.957
1,693.319,1.716
1,584.123,1.707
1,1052.879,1.645
1,842.507,1.676
1,4070.223,0.908
1,4091.073,0.946
1,9219.761,0.955
1,638.744,0.949
1,276.252,0.514
1,408.569,0.496
1,590.263,0.926
-1,3000000.0,0.0
1,1479.524,0.926
-1,3000000.0,0.0
1,31232.959,0.925
1,1451.401,0.94
1,97.604,0.912
1,591691.909,0.859
1,350.44,1.881
1,432.447,1.818
1,460.381,1.799
1,272.218,1.042
1,3569.332,1.805
1,1299.099,1.853
1,2986.647,1.823
1,288.591,1.907
1,597405.629,1.84
1,64988.11,1.89
1,350.431,0.997
1,8533.797,1.094
1,879.128,1.814
1,18327.41,3.508
1,48821.687,3.516
1,49609.867,3.521
1,24801.909,3.581
1,4199.651,1.737
1,473.375,2.238
1,585.846,2.202
