truth,execution-time,plan-time
1,36.575,0.629
1,5293.879,0.338
1,885.54,0.328
1,432.299,0.206
1,1491.842,0.342
1,321.248,0.324
1,186.989,0.488
1,294.612,0.392
1,316.486,0.401
1,186.935,0.438
1,119.175,0.46
1,284.761,0.445
1,104.844,0.452
1,29.082,0.433
1,1631.281,0.383
1,112.846,0.446
1,30.242,0.342
1,83.709,0.378
1,45.689,0.233
1,226.272,0.28
1,80.558,0.306
1,868.61,0.404
1,249.913,0.409
1,47.303,0.413
1,163.555,0.848
1,75.023,0.541
1,58.572,0.889
1,2636.201,0.56
1,232.334,0.648
-1,0.0,0.0
1,5111.898,0.894
1,9283.875,1.017
1,222.634,0.996
-1,0.0,0.0
1,1928.691,0.892
1,83.961,0.906
1,648.83,0.868
-1,0.0,0.0
1,580.765,0.931
1,70.105,0.586
1,17.391,0.595
1,447.447,0.485
1,1388.649,0.851
1,1202.841,0.88
1,24.944,0.832
1,419.012,1.558
-1,0.0,0.0
1,83.961,1.849
1,4976.294,1.688
1,495.837,1.825
-1,0.0,0.0
-1,0.0,0.0
1,235.207,0.946
1,19.091,0.92
1,23.296,1.159
1,3503.6,1.129
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
1,2454.185,1.697
1,260.148,1.714
1,63.734,1.665
1,90.271,1.639
1,451.145,1.757
1,89.294,1.751
1,601.551,1.702
1,21.633,1.771
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
1,851.904,2.03
1,480.157,2.013
1,6721.88,1.604
1,1169.842,1.623
1,359.693,1.616
1,1434.58,1.596
1,156.581,1.658
1,979.073,1.658
1,307.075,0.474
1,161.879,0.452
1,439.772,0.408
1,522.145,0.425
1,1760.095,0.479
1,2324.51,0.443
1,411.805,0.537
1,208.842,0.386
1,1613.973,0.395
1,354.003,0.485
1,247.11,0.475
1,840.985,0.474
1,206.525,0.323
1,739.648,0.402
1,307.906,0.402
1,1298.458,0.838
1,955.119,0.868
1,9138.452,0.96
1,8348.682,0.918
1,482.27,0.933
1,248.662,0.595
1,324.009,0.6
1,607.419,0.616
1,876.058,0.976
1,8094.424,0.984
-1,0.0,0.0
1,1437.194,1.006
-1,0.0,0.0
-1,0.0,0.0
1,681.852,1.814
1,565.955,1.73
1,1044.053,1.726
1,819.199,1.726
1,3979.343,0.95
1,4010.794,0.967
1,8733.404,0.996
1,595.724,0.941
1,269.965,0.526
1,407.821,0.527
1,569.844,0.918
-1,0.0,0.0
1,1572.959,0.969
-1,0.0,0.0
-1,0.0,0.0
1,1385.002,0.908
1,94.613,0.918
-1,0.0,0.0
1,340.411,1.897
1,438.891,1.855
1,465.08,1.866
1,270.38,1.086
1,3388.148,1.856
1,1221.791,1.793
1,2791.29,1.779
1,291.12,1.886
-1,0.0,0.0
-1,0.0,0.0
1,358.083,0.99
1,8472.736,1.154
1,914.077,1.822
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
-1,0.0,0.0
1,4200.426,1.75
1,472.163,2.216
1,599.266,2.278
