wjsample,wjsample-time
79851.0,0.522
11442218.0,0.842
28747360.0,0.725
36348240.0,0.608
6187271.0,0.62
1433768.0,0.66
52767794.0,0.536
10921.0,0.344
6362775.0,0.909
40506179.0,0.521
9275.0,0.233
4193348.0,0.829
174146.0,0.234
823461.0,0.604
302910.0,0.2
822709.0,0.649
3331189.0,0.68
168698.0,0.205
5718.0,0.219
3331192.0,0.58
8112262.0,0.669
126297.0,0.226
16771.0,0.234
7703293.0,0.552
257797181.0,0.594
159786.0,0.219
262859.0,0.187
240337204.0,0.491
7894498.0,0.49
167954.0,0.193
35099.0,0.173
147707.0,0.446
36853.0,0.551
129657.0,0.192
132.0,0.186
544.0,0.455
11327689.0,0.58
131729.0,0.196
79610.0,0.182
11327709.0,0.493
11453424.0,0.596
126211.0,0.226
75652.0,0.191
10868608.0,0.504
590.0,0.307
1788706.0,0.488
1273.0,0.649
10993.0,0.215
297366.0,0.19
51957.0,0.671
35894.0,0.744
11083.0,0.178
90164.0,0.184
10883.0,0.386
283611.0,0.221
87283.0,0.205
278851.0,0.431
312204.0,0.226
34573.0,0.191
32953.0,0.385
1792261.0,0.44
35093.0,0.179
88883.0,0.169
78167.0,0.507
66922.0,0.481
34828.0,0.172
78419.0,0.162
65722.0,0.418
266.0,0.484
138.0,0.175
78419.0,0.153
260.0,0.421
172485.0,0.249
50688.0,0.566
1090031.0,0.882
11094.0,0.186
260327.0,0.202
69599.0,0.678
50652.0,0.566
1089261.0,0.675
320102.0,1.441
31423.0,0.664
131480.0,1.441
168808.0,0.187
50139.0,0.59
11102.0,0.171
88975.0,0.184
50139.0,0.599
163300.0,0.59
10740.0,0.359
19711.0,0.805
41157848.0,0.567
24549.0,0.59
127692.0,0.199
7098.0,0.494
86075.0,0.19
135.0,0.182
-1.0,-1.0
283824.0,0.584
446.0,0.479
300.0,0.491
991.0,1.171
325282.0,0.188
3105390.0,0.532
89767.0,0.187
79851.0,0.162
11076438.0,0.86
320185.0,0.494
177755.0,0.483
634026.0,0.783
21877.0,0.224
206327.0,0.566
5792.0,0.212
75444.0,0.314
734781.0,0.916
20627.0,0.458
11313.0,0.519
40288.0,0.794
730398.0,0.574
619072.0,0.477
35464.0,0.293
1266285.0,0.536
36604.0,0.197
79851.0,0.157
9817303.0,1.138
32192.0,0.453
70225.0,0.429
72483.0,0.53
63746.0,1.133
834703.0,0.549
575565.0,0.514
34037.0,0.179
1367317.0,0.634
40803.0,0.188
72413.0,0.211
10515356.0,1.224
35595.0,0.447
63171.0,0.455
75728.0,0.498
66062.0,1.197
227574972.0,0.694
7791797.0,0.674
166556.0,0.212
997271.0,0.53
246890.0,0.205
34377.0,0.2
-1.0,-1.0
223432685.0,0.57
7649972.0,0.493
214374.0,0.528
10262336361.0,1.051
257797181.0,0.617
43601.0,0.527
126222.0,0.22
6193.0,0.451
207642.0,0.191
143.0,0.221
-1.0,-1.0
189852944.0,0.523
32110.0,0.584
999.0,0.665
48297168.0,1.215
1147514.0,0.546
2127605.0,0.644
24652.0,0.198
619072.0,0.557
35442.0,0.206
79801.0,0.186
-1.0,-1.0
21680.0,0.502
48816.0,0.506
70182.0,0.448
-1.0,-1.0
34362.0,0.521
11471813.0,0.562
124166.0,0.209
3438.0,0.469
184.0,0.188
74546.0,0.208
2963891.0,1.143
606.0,0.503
245872.0,0.641
364.0,0.471
1200.0,1.042
31628.0,0.507
11471813.0,0.542
129087.0,0.199
3165.0,0.487
176.0,0.184
77501.0,0.163
2728016.0,1.077
580.0,0.539
255616.0,0.481
349.0,0.464
1149.0,1.187
51187.0,0.633
749102.0,0.667
1386190.0,0.656
47716.0,0.704
87647.0,0.684
1408543.0,0.545
219984.0,1.505
407073.0,1.603
5957359.0,1.469
376705.0,1.319
1749591.0,2.926
27933816.0,0.56
11148633.0,0.568
130593.0,0.2
2090682.0,0.664
40096.0,0.203
79033.0,0.172
2384689163.0,1.217
129853.0,0.508
255949.0,0.564
78584.0,0.505
254499.0,1.337
43121164.0,0.557
11362829.0,0.555
124640.0,0.22
3232415.0,0.538
58052.0,0.212
75548.0,0.18
-1.0,-1.0
189651.0,0.53
246810.0,0.528
114954.0,0.567
375544.0,1.274
9668.0,0.211
83043.0,0.195
2972825.0,0.539
77164.0,0.191
9197.0,0.428
329229.0,0.894
2872785.0,0.597
318150.0,0.96
89.0,0.229
679.0,0.237
25897.0,0.612
71925.0,0.188
79.0,0.429
3026.0,0.933
23403.0,0.623
2734.0,1.005
139773.0,0.191
1548362.0,0.608
151241.0,0.231
41738.0,0.188
713813.0,0.658
137584.0,0.427
148873.0,0.379
490741.0,0.838
7350182.0,0.477
39504.0,0.194
2094831.0,0.48
89930.0,0.194
3131507.0,0.581
79328.0,0.182
88679.0,0.542
82152730.0,1.331
2081117.0,0.492
3111006.0,0.589
81614892.0,1.262
1491417.0,0.526
264321.0,0.208
14429587.0,0.478
2573.0,0.236
92247.0,0.558
77057.0,0.275
17479.0,0.6
16669508.0,1.419
13924686.0,0.556
89019.0,0.598
16086230.0,1.345
342138.0,0.479
1918.0,0.2
4444183.0,0.514
799.0,0.244
613126.0,0.529
1781.0,0.208
1687.0,0.498
-1.0,-1.0
100070.0,0.585
13806.0,0.513
775826.0,1.074
20633.0,0.201
44690.0,0.593
798992.0,0.599
1369496.0,0.609
1170.0,0.225
35508.0,0.182
39122.0,0.202
45310.0,0.588
77091.0,0.591
1513517.0,0.589
5342.0,0.619
95504.0,0.602
163697.0,0.681
206864.0,1.592
354571.0,1.456
6333045.0,1.447
3779.0,0.616
4163.0,0.6
126356.0,0.548
356868.0,1.348
10163.0,1.487
17420.0,1.486
528707.0,1.299
1491703.0,2.779
13446.0,1.306
56263.0,2.79
2713773.0,0.53
36357593.0,0.558
31693.0,0.583
171394.0,0.179
371893.0,0.577
363.0,0.582
4580.0,0.183
635.0,0.425
39764.0,0.186
141.0,0.169
575668728.0,1.229
501807.0,1.328
19467.0,0.568
6722937.0,1.116
36357571.0,0.478
31692.0,0.447
29493.0,1.099
371885.0,0.482
363.0,0.462
139.0,0.486
40745503.0,2.692
1580672.0,1.113
-1.0,-1.0
6722864.0,1.036
29495.0,0.981
-1.0,-1.0
