wjsample,wjsample-time
79851.0,0.2
40325.0,0.078
135261.0,0.126
79645.0,0.034
135261.0,0.027
43568.0,0.115
174305.0,0.05
42748.0,0.041
135261.0,0.039
328064.0,0.17
79625.0,0.038
42225.0,0.152
174305.0,0.044
90475.0,0.056
11102.0,0.139
135261.0,0.025
89499.0,0.046
9532.0,0.077
174305.0,0.028
91892.0,0.047
303187.0,0.075
171563.0,0.054
5809.0,0.098
40325.0,0.031
135261.0,0.028
17943.0,0.108
38292.0,0.071
174305.0,0.034
303187.0,0.036
37594.0,0.063
172583.0,0.027
328064.0,0.031
39910.0,0.042
168886.0,0.042
1565.0,0.068
31484.0,0.056
133966.0,0.035
79610.0,0.04
40325.0,0.022
135261.0,0.024
79723.0,0.037
38266.0,0.057
91069.0,0.055
1032.0,0.131
328064.0,0.027
91070.0,0.042
11102.0,0.039
300324.0,0.031
91815.0,0.03
11102.0,0.028
40230.0,0.024
293844.0,0.033
88773.0,0.053
40279.0,0.055
327549.0,0.044
87667.0,0.053
39374.0,0.035
328064.0,0.038
91250.0,0.047
39904.0,0.039
328064.0,0.025
79851.0,0.026
39602.0,0.027
1304.0,0.029
79851.0,0.024
39602.0,0.024
172607.0,0.028
91911.0,0.042
11102.0,0.038
260511.0,0.049
168808.0,0.049
91976.0,0.062
11102.0,0.024
39630.0,0.026
135226.0,0.029
91058.0,0.085
1302.0,0.047
38725.0,0.096
328064.0,0.066
91196.0,0.038
79851.0,0.023
40325.0,0.021
327549.0,0.026
6143.0,0.07
78762.0,0.049
38626.0,0.05
328064.0,0.03
37187.0,0.063
79851.0,0.023
40325.0,0.016
325426.0,0.026
42842.0,0.048
74841.0,0.055
39017.0,0.033
172525.0,0.035
270405.0,0.051
323905.0,0.045
39591.0,0.063
174305.0,0.033
303187.0,0.028
1794.0,0.055
29697.0,0.045
25086.0,0.031
328064.0,0.028
79851.0,0.024
40300.0,0.031
135261.0,0.044
1822.0,0.052
79851.0,0.038
37646.0,0.037
135261.0,0.029
1677.0,0.042
79851.0,0.025
39138.0,0.03
174305.0,0.025
11102.0,0.024
275809.0,0.036
328064.0,0.042
132811.0,0.054
43116.0,0.049
79033.0,0.039
40325.0,0.023
133976.0,0.033
65979.0,0.047
79851.0,0.038
38152.0,0.044
10186.0,0.026
87303.0,0.041
38968.0,0.037
79851.0,0.022
10745.0,0.027
763.0,0.046
36441.0,0.034
79591.0,0.024
303187.0,0.024
42402.0,0.086
328064.0,0.041
40325.0,0.034
42759.0,0.037
91963.0,0.042
40061.0,0.035
79851.0,0.023
294532.0,0.036
2709.0,0.08
38914.0,0.051
79851.0,0.03
91593.0,0.028
328064.0,0.038
908.0,0.05
79084.0,0.035
172612.0,0.024
10994.0,0.062
9788.0,0.05
297063.0,0.026
327292.0,0.042
174305.0,0.035
4653.0,0.046
42759.0,0.026
1304.0,0.04
40325.0,0.035
172648.0,0.025
526.0,0.029
79851.0,0.025
328064.0,0.022
31565.0,0.024
25327.0,0.042
89956.0,0.057
1304.0,0.041
78126.0,0.042
39415.0,0.043
25327.0,0.039
2469.0,0.052
328064.0,0.029
79851.0,0.021
35518.0,0.037
172279.0,0.031
42722.0,0.051
91593.0,0.04
77271.0,0.042
39846.0,0.038
174305.0,0.029
1208.0,0.075
303187.0,0.024
78523.0,0.035
37880.0,0.034
173260.0,0.039
11102.0,0.045
43033.0,0.028
40325.0,0.031
79851.0,0.024
174305.0,0.024
9745.0,0.039
1598.0,0.034
38354.0,0.021
79851.0,0.022
1032.0,0.019
91976.0,0.022
39602.0,0.021
303187.0,0.023
77791.0,0.04
1032.0,0.031
91976.0,0.023
40325.0,0.035
328064.0,0.028
79851.0,0.037
1032.0,0.024
91976.0,0.022
39885.0,0.041
1630.0,0.035
79722.0,0.03
91492.0,0.034
11102.0,0.029
67016.0,0.038
325331.0,0.047
79465.0,0.044
36668.0,0.039
6227.0,0.036
10186.0,0.03
91593.0,0.028
324932.0,0.031
79851.0,0.04
37442.0,0.047
174305.0,0.034
91976.0,0.04
11102.0,0.026
328064.0,0.026
79851.0,0.024
39154.0,0.036
172170.0,0.03
12847.0,0.051
9822.0,0.039
260306.0,0.037
79851.0,0.059
37617.0,0.041
7989.0,0.032
5408.0,0.056
11102.0,0.026
328064.0,0.022
79851.0,0.019
40325.0,0.021
135261.0,0.024
42238.0,0.036
9832.0,0.033
1562.0,0.038
79851.0,0.031
35966.0,0.063
173819.0,0.031
1017.0,0.053
10885.0,0.04
287557.0,0.033
324415.0,0.045
40324.0,0.043
133632.0,0.047
4850.0,0.053
11102.0,0.026
69541.0,0.024
328064.0,0.028
38701.0,0.049
172433.0,0.031
90069.0,0.054
11102.0,0.042
87647.0,0.039
1290.0,0.056
38983.0,0.029
133433.0,0.034
1358.0,0.038
10006.0,0.026
43568.0,0.023
328064.0,0.044
38506.0,0.053
174305.0,0.037
91976.0,0.03
11102.0,0.023
303187.0,0.021
324301.0,0.043
79851.0,0.07
135261.0,0.045
41951.0,0.051
10186.0,0.033
303187.0,0.027
327035.0,0.063
79851.0,0.041
172568.0,0.04
2723.0,0.068
11102.0,0.042
303187.0,0.025
258018.0,0.051
78986.0,0.036
174305.0,0.025
91976.0,0.025
11102.0,0.031
91593.0,0.032
34381.0,0.047
79851.0,0.04
135261.0,0.032
91904.0,0.037
11102.0,0.028
879.0,0.026
328064.0,0.028
77647.0,0.043
172644.0,0.038
41949.0,0.054
11102.0,0.03
283850.0,0.04
798.0,0.038
79851.0,0.025
174305.0,0.026
8987.0,0.065
303187.0,0.043
328064.0,0.044
79851.0,0.026
40325.0,0.024
134625.0,0.039
18060.0,0.063
303187.0,0.027
328064.0,0.043
79851.0,0.041
38665.0,0.034
174305.0,0.031
19554.0,0.052
91593.0,0.027
260920.0,0.026
79851.0,0.037
36958.0,0.042
174305.0,0.034
2867.0,0.056
303187.0,0.029
34381.0,0.034
78867.0,0.03
39505.0,0.053
174305.0,0.026
6178.0,0.047
303187.0,0.043
1304.0,0.041
79851.0,0.035
40325.0,0.017
135261.0,0.027
5947.0,0.038
303187.0,0.026
325331.0,0.04
79659.0,0.043
39081.0,0.025
172626.0,0.025
41408.0,0.061
39734.0,0.032
135261.0,0.027
6065.0,0.042
40325.0,0.035
171830.0,0.037
303187.0,0.04
39416.0,0.049
174305.0,0.026
303187.0,0.032
39863.0,0.047
172292.0,0.031
324301.0,0.054
39739.0,0.038
174305.0,0.026
327292.0,0.028
36369.0,0.047
135261.0,0.035
328064.0,0.04
39839.0,0.033
91976.0,0.026
172278.0,0.032
79851.0,0.022
40003.0,0.032
133966.0,0.036
79610.0,0.047
40325.0,0.031
303187.0,0.033
91491.0,0.071
39460.0,0.042
275510.0,0.029
12200.0,0.044
37507.0,0.037
299107.0,0.028
90995.0,0.045
40133.0,0.05
303187.0,0.033
88889.0,0.044
38353.0,0.032
328064.0,0.042
46655.0,0.045
40325.0,0.022
328064.0,0.026
91976.0,0.043
38782.0,0.033
174305.0,0.028
303187.0,0.035
327549.0,0.042
91976.0,0.036
133600.0,0.035
300293.0,0.043
260920.0,0.043
91976.0,0.038
172627.0,0.027
2664.0,0.068
328064.0,0.026
39950.0,0.045
174305.0,0.031
42976.0,0.036
324932.0,0.029
39006.0,0.034
135261.0,0.025
43033.0,0.043
328064.0,0.034
39339.0,0.045
174305.0,0.026
41709.0,0.046
328064.0,0.026
39445.0,0.034
134667.0,0.036
86965.0,0.057
327549.0,0.043
40325.0,0.036
328064.0,0.027
42781.0,0.053
79620.0,0.027
40325.0,0.019
328064.0,0.024
42922.0,0.059
79851.0,0.034
39900.0,0.041
174305.0,0.028
297560.0,0.04
328064.0,0.034
39220.0,0.034
133601.0,0.051
303187.0,0.043
328064.0,0.041
40166.0,0.036
170946.0,0.025
91593.0,0.034
328064.0,0.079
36811.0,0.061
25007.0,0.034
34068.0,0.043
77550.0,0.037
40325.0,0.023
25086.0,0.033
328064.0,0.038
79851.0,0.035
40300.0,0.028
135261.0,0.028
9792.0,0.043
303187.0,0.025
324412.0,0.045
91976.0,0.041
135261.0,0.036
10404.0,0.053
303187.0,0.027
328064.0,0.032
91976.0,0.027
174305.0,0.023
10057.0,0.039
272842.0,0.026
324932.0,0.066
91976.0,0.045
174305.0,0.029
9597.0,0.039
303187.0,0.023
324301.0,0.039
91976.0,0.045
173522.0,0.033
303187.0,0.045
79851.0,0.031
39029.0,0.03
174305.0,0.024
87046.0,0.037
78902.0,0.027
36938.0,0.046
170885.0,0.045
303187.0,0.042
77858.0,0.042
39871.0,0.037
7989.0,0.026
295832.0,0.041
79851.0,0.04
40085.0,0.038
300236.0,0.043
43033.0,0.049
260920.0,0.028
39263.0,0.045
286576.0,0.028
19792.0,0.057
321521.0,0.117
37588.0,0.045
69541.0,0.026
40720.0,0.035
39941.0,0.027
79646.0,0.024
300325.0,0.025
90995.0,0.043
39767.0,0.032
79851.0,0.023
85311.0,0.042
5989.0,0.056
38894.0,0.033
79237.0,0.047
298902.0,0.047
47591.0,0.043
40325.0,0.019
79851.0,0.02
303187.0,0.022
6157.0,0.038
40264.0,0.021
79851.0,0.02
303187.0,0.024
327035.0,0.044
39668.0,0.053
79713.0,0.027
43568.0,0.026
327549.0,0.03
33906.0,0.048
78967.0,0.034
303187.0,0.035
328064.0,0.039
40325.0,0.025
79851.0,0.02
135261.0,0.029
13102.0,0.041
9275.0,0.034
303187.0,0.025
260920.0,0.044
172612.0,0.044
10994.0,0.06
9788.0,0.035
297063.0,0.027
327292.0,0.032
173540.0,0.041
19588.0,0.055
11102.0,0.042
303187.0,0.024
260920.0,0.038
172193.0,0.034
91613.0,0.037
10186.0,0.039
299967.0,0.027
39032.0,0.055
7989.0,0.026
41664.0,0.043
299227.0,0.027
1813.0,0.051
37652.0,0.049
174305.0,0.029
19944.0,0.058
88251.0,0.045
1548.0,0.044
37736.0,0.033
174305.0,0.027
303187.0,0.039
77673.0,0.04
1804.0,0.051
36731.0,0.055
135261.0,0.028
12352.0,0.045
294018.0,0.028
79851.0,0.041
20177.0,0.042
135261.0,0.031
201.0,0.063
303187.0,0.029
79851.0,0.023
40325.0,0.016
169107.0,0.033
2869.0,0.059
303187.0,0.026
79851.0,0.038
39354.0,0.05
174260.0,0.032
8830.0,0.058
5639.0,0.061
40325.0,0.026
79851.0,0.021
1032.0,0.019
91492.0,0.033
40325.0,0.02
328064.0,0.025
79242.0,0.026
174305.0,0.025
89700.0,0.048
9991.0,0.039
328036.0,0.027
77731.0,0.049
