wjsample,wjsample-time
1327264.0,0.493
193.0,0.464
368.0,0.139
966.0,0.384
249507.0,0.161
1.0,0.362
1.0,0.16
1.0,0.4
203006.0,0.152
193.0,0.361
56.0,0.147
148.0,0.39
722107.0,0.149
1.0,0.367
1.0,0.163
2.0,0.399
2609129.0,0.135
42950.0,0.44
41620.0,0.147
214804.0,0.393
5899378.0,0.232
1796015.0,0.145
26588268.0,0.35
10555629.0,0.364
2272809.0,0.152
691937.0,0.148
26588268.0,0.39
4066687.0,0.366
10263101.0,0.15
3124514.0,0.145
26588268.0,0.351
18363550.0,0.369
185110.0,0.155
1796015.0,0.145
834283.0,0.351
331213.0,0.411
71316.0,0.155
691937.0,0.147
834283.0,0.359
127604.0,0.37
322034.0,0.153
3124514.0,0.147
834283.0,0.355
576209.0,0.375
5899378.0,0.152
526928.0,0.15
7800663.0,0.36
3096888.0,0.368
2272809.0,0.147
203006.0,0.153
7800663.0,0.354
1193117.0,0.396
10263101.0,0.187
916693.0,0.153
7800663.0,0.345
5387634.0,0.373
38.0,0.159
3541.0,6.582
5543446.0,0.149
1371.0,0.404
1183.0,0.144
64849544.0,0.346
9475.0,0.16
42916.0,0.389
1.0,0.156
3541.0,0.36
9475.0,0.144
2.0,0.397
134.0,0.157
3541.0,0.354
19718466.0,0.142
4876.0,0.402
2461275.0,0.145
64849544.0,0.349
19718466.0,0.176
89310389.0,0.397
4205280.0,0.171
762209.0,0.158
20178698.0,0.181
7408151.0,0.155
7644824.0,0.359
2609129.0,0.144
19435959.0,0.396
2732752.0,0.153
2820057.0,0.357
2609129.0,0.155
7169624.0,0.436
230750.0,0.156
238122.0,0.355
2609129.0,0.138
605394.0,0.395
2940094.0,0.166
7644824.0,0.35
1035492.0,0.154
7713604.0,0.402
722730.0,0.161
7644824.0,0.37
254543.0,0.154
1896147.0,0.402
4963160.0,0.154
1035833.0,0.146
12900953.0,0.35
5121722.0,0.394
1912119.0,0.154
399068.0,0.164
12900953.0,0.4
1973209.0,0.364
25031996.0,0.203
1802030.0,0.143
37401292.0,0.347
25831705.0,0.367
3978.0,0.161
448945.0,0.149
6174.0,0.364
2089.0,0.374
11762.0,0.145
1327264.0,0.137
6174.0,0.444
6174.0,0.385
4089504.0,0.145
2358578.0,0.148
4668459.0,0.349
4220153.0,0.368
139816.0,0.161
42225.0,0.156
120195.0,0.167
284725.0,0.362
810489.0,0.476
244768.0,0.361
25785.0,0.373
73397.0,0.369
22166.0,0.375
149467.0,0.815
13536.0,1.123
116402.0,0.148
1.0,0.146
2609129.0,0.135
1.0,0.361
120121.0,0.355
1.0,0.36
1.0,0.354
120121.0,0.363
1.0,0.362
-1.0,-1.0
-1.0,-1.0
517278.0,0.155
156218.0,0.163
444686.0,0.156
284725.0,0.358
810489.0,0.366
244768.0,0.362
95394.0,0.368
271546.0,0.375
82007.0,0.375
149467.0,0.872
50077.0,0.88
793517.0,0.201
352035.0,0.152
123670.0,0.15
1570533.0,0.374
551729.0,0.36
244768.0,0.364
416558.0,0.368
146337.0,0.371
64921.0,0.364
289631.0,0.821
76820.0,0.9
55279.0,0.162
18915.0,0.159
183525.0,0.153
251292.0,0.362
2438145.0,0.36
834283.0,0.361
10194.0,0.377
